Klassifikaatori API:,https://estat.stat.ee/codelists/codelist/APA_SEKTSIOONID_enum,,,,,,,,,,,
codeListCode,APA_SEKTSIOONID_enum,,,,,,,,,,,
codeListName,Andmepõhise aruandluse sektsioonid,,,,,,,,,,,
,Klassifikaatori elemendi kood,"Sektsiooni vastuvõtuvõimekuse info asutuses (andmete vastuvõtt, faili struktuuri kontroll, sisukontrollid, tagasisideraporti tagastamine ning seotud aruannete kinnitamine)",Sektsiooni esitamise tähtaeg,Sektsioon on sisendiks järgnevatele Statistikaameti küsimustikele:,Elemendi nimetus eesti keeles,Elemendi nimetus inglise keeles,Elemendi nimetus vene keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst eesti keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst inglise keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst vene keeles,Elemendi kehtivuse algusaeg (YYYY-MM-DD),Elemendi kehtivuse lõpuaeg (YYYY-MM-DD)
Politsei- ja Piirivalveamet,EE0501001,Andmepõhise Aruandluse rakendamine osa on veel analüüsimisel ning planeeritav aeg ei ole veel paigas.,"Vastavalt vajadusele (andmeid ei oleks vajalik esitada kindla perioodilisusega, vaid vastavalt PPA teavitusele kindla perioodi osas).",,Majutatute andmed Politsei- ja Piirivalveametile,Data on accommodated persons for the Police and Border Guard Board,,Antud sektsioonis esitatakse majutatute üksikandmed.,This section provides detailed data on accommodated persons.,,2024-01-01,
Äriregister,EE0301010,Vastuvõtu võimekus hiljemalt 2025 I poolaasta,6 kuu jooksul majandusaasta lõpust,,Mikroettevõtja  saldod,Period balances (micro),,Perioodi saldod majandusaasta aruandeks,Period balances for annual accounts,,2024-01-01,
Äriregister,EE0301020,Vastuvõtu võimekus hiljemalt 2026 alguses,6 kuu jooksul majandusaasta lõpust,,Standard saldod (va mikroettevõtja) ,Period balances (exept micro),,Perioodi saldod majandusaasta aruandeks,Period balances for annual accounts,,2024-01-01,
Äriregister,EE0302010,Vastuvõtu võimekus hiljemalt 2026 alguses,6 kuu jooksul majandusaasta lõpust,,Perioodi käibed,Period movements,,Perioodi liikumised majandusaasta aruande lisadeks,Period movemenst for annual accounts notes,,2024-01-01,
Statistikaamet,EE0104001,Vastuvõtuvõimekuse arendamise planeeritud aeg: 2026 aasta alguseks (esmane andmeedastus oleks veebruar 2026).,Täpsustamisel,"Peamised küsimustikud (loetelu on täpsustamisel):
EKOMAR (eri tegevusalade lõikes 10 küsimustikku)
1451 - Majandustegevus
1060 - Finantsnäitajad
",Ostu-ja müügitehingute ning toimingute andmed Statistikaametile *(sektsioonide arv on täpsustamisel),,,,,,2024-01-01,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
