Antud lehel on kuvatud koondvaade saadetava XML faili väljadest ning väljade kohustuslikkuse infost.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Saadetava faili XBRL GL sisuline osa (gl-cor:accountingEntries):,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
gl-cor:documentInfo,*Täpsem info väljade/väärtuste osas on toodud välja Üldised andmeväljad/Andmekoosseis lehtedel.,,,,,,,,,,,,,,,,,,,
Esitatavad andmeelemendid,Näide väärtusest,Kohustuslikkus,Lisainfo,,,,,,,,,,,,,,,,,
gl-cor:entriesType,other,Jah,,,,,,,,,,,,,,,,,,
gl-cor:uniqueID,10002456-2023-12-15T09:36:51:554,Jah,,,,,,,,,,,,,,,,,,
gl-cor:language,iso639:et,Jah,,,,,,,,,,,,,,,,,,
gl-cor:creationDate,2023-12-15,Jah,,,,,,,,,,,,,,,,,,
gl-bus:creator,Ettevõte AO,Jah,,,,,,,,,,,,,,,,,,
gl-cor:entriesComment,AA andmed Statistikaametile,Valikuline,,,,,,,,,,,,,,,,,,
gl-cor:periodCoveredStart,2023-11-01,Jah,,,,,,,,,,,,,,,,,,
gl-cor:periodCoveredEnd,2023-11-30,Jah,,,,,,,,,,,,,,,,,,
gl-bus:sourceApplication,Raamatupidamistarkvara XY,Jah,,,,,,,,,,,,,,,,,,
gl-muc:defaultCurrency,iso4217:eur,Tingimuslik,"Vajalik failides, kus on kajastatud rahasummad.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
gl-cor:entityInformation,,,,,,,,,,,,,,,,,,,,
Esitatavad andmeelemendid,Näide väärtusest,Kohustuslikkus,Lisainfo,,,,,,,,,,,,,,,,,
gl-bus:phoneNumber,,Tingimuslik,Vajalik esitada majutuse puhul vaid PPA-le.,,,,,,,,,,,,,,,,,
gl-bus:entityEmailAddres,,Tingimuslik,Vajalik esitada majutuse puhul vaid PPA-le.,,,,,,,,,,,,,,,,,
gl-bus:organizationIdentifiers,-,Jah,,,,,,,,,,,,,,,,,,
          gl-bus:organizationIdentifier,10002456,Jah,,,,,,,,,,,,,,,,,,
          gl-bus:organizationDescription,ARIREGISTRIKOOD,Jah,,,,,,,,,,,,,,,,,,
gl-bus:organizationAddressLocationIdentifier,ME03195690,Tingimuslik,Vajalik esitada majutuse failis majutusüksuse asukoha kohta ADS klassifikaatori ads_oid tunnus.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
gl-cor:entryHeader,,,,,,,,,,,,,,,,,,,,
Esitatavad andmeelemendid,Näide väärtusest,Kohustuslikkus,Lisainfo,,,,,,,,,,,,,,,,,
gl-cor:entryNumber,EE0102001,Jah,APA_SEKTSIOONID_enum tulenev elemendi kood,,,,,,,,,,,,,,,,,
gl-cor:entryComment,Vead füüsilisele isikule tehtud väljamaksete ja/või maksude ja maksete arvestamisel,Tingimuslik,"Üldiselt mittevajalik väli, kuid teatud tingimustel vajalik täiendavaks infoedastuseks. Andmevajadus määratakse ära sektsiooni infos. 
Hetkeseisuga vajalik kasutada vaid juhul, kui on vajalik esitada TSD andmete muutmise põhjuseid. ",,,,,,,,,,,,,,,,,
gl-cor:entryDetail,-,Jah,,,,,,,,,,,,,,,,,,
          gl-cor:lineNumber,HYMK976,Tingimuslik,"Kirje unikaalne tunnus, mis on täiendavaks kirjega seonduvaks identifikaatoriks.
Kuiste andmeedastuste korral valikuline väli, sündmuspõhiste sektsioonide puhul kohustuslik väli.",,,,,,,,,,,,,,,,,
          gl-cor:lineNumberCounter,1,Jah,,,,,,,,,,,,,,,,,,
          gl-cor:account,-,Jah,,,,,,,,,,,,,,,,,,
                    gl-cor:accountMainID,521922,Tingimuslik,MAJANDUSLIKSISU2024ap-st tulenev elemendi kood. Sõltuvalt sektsioonist kohustuslik.,,,,,,,,,,,,,,,,,
                    gl-cor:accountMainDescription,1010 Kassa,Tingimuslik,Kasutatakse majandustarkvaras enda konto sidumiseks majandusliku sisu (accountMainID) väljaga. Vabatahtlik infoväli.,,,,,,,,,,,,,,,,,
                    gl-cor:accountSub,-,Tingimuslik,,,,,,,,,,,,,,,,,,
                              gl-cor:accountSubID,A11001,Tingimuslik,Klassifikaatori elemendi kood. Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
                              gl-cor:accountSubType,TKL2017ap,Tingimuslik,Klassifikaatori tähis. Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
          gl-cor:amount ,100,Tingimuslik,Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
          gl-cor:debitCreditCode,D,Tingimuslik,Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
          gl-cor:identifierReference,,Tingimuslik,,,,,,,,,,,,,,,,,,
                    gl-cor:identifierCode,EE34801010100,Tingimuslik,Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
                    gl-cor:identifierDescription,ARIREGISTRIKOOD,Tingimuslik,Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
                    gl-cor:identifierCategory,1,Tingimuslik,Sõltuvalt sektsioonist/ärireeglitest lähtuvalt kohustuslik. ,,,,,,,,,,,,,,,,,
