sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
1,1,C,,btx:Business Transactions,,1..*,,"Economic event represented by one or more business documents and corresponding accounting entries, such as orders, shipments, invoices, and journal entries.",btx,btx:Business Transactions,BT01a,/BT01a,$.btx:Business Transactions,BtxbTran,【ビジネス取引】,XBRL GLのルート要素。 注文、出荷、請求書およびそれに対応する仕訳など、1つまたは複数の業務文書と会計仕訳によって表現される経済事象。,btx:businessTransactions,/btx:Business Transactions
2,2,C,,btx:Entity Party,,0..1,,Holder for entity information - information about the reporting organization.,btx,btx:Entity_ Party,BT02a,/BT01a/BT02a,$.btx:Business Transactions.btx:Entity_ Party,BtxbTran.BtxePart,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,btx:entityParty,/btx:businessTransactions/btx:entityParty
3,3,A,,btx:Entity Party ID,,0..1,,ID Number of the party,cor,btx:Entity_ Party,BT02a_CO02_01,/BT01a/BT02a_CO02_01,$.btx:Business Transactions.btx:Entity_ Party.cor:Party_ ID,BtxbTran.BtxePart.CorpId,,,btx:entityPartyId,/btx:businessTransactions/btx:entityParty/btx:entityPartyId
4,3,A,,btx:Entity Party Name,,0..1,,Name of the party,cor,btx:Entity_ Party,BT02a_CO02_02,/BT01a/BT02a_CO02_02,$.btx:Business Transactions.btx:Entity_ Party.cor:Party_ Name,BtxbTran.BtxePart.CorpNam,,,btx:entityPartyName,/btx:businessTransactions/btx:entityParty/btx:entityPartyName
5,3,A,,btx:Entity Party Business Description,,0..1,,Description of the nature of the business of the party.,cor,btx:Entity_ Party,BT02a_CO02_03,/BT01a/BT02a_CO02_03,$.btx:Business Transactions.btx:Entity_ Party.cor:Party_ Business Description,BtxbTran.BtxePart.CorpBusnDesc,業種説明,事業体の事業の種類についての説明。,btx:entityPartyBusinessDescription,/btx:businessTransactions/btx:entityParty/btx:entityPartyBusinessDescription
6,3,R,,cor:Entity Party Authority Registered Identifier,,0..*,,Class representing an identifier that is registered with and issued or recognised by an external authority. It provides information about the authority responsible for the registration and verification of the identifier.,cor,cor:Party_ Authority Registered Identifier,CO01a,/BT01a/CO01a,$.btx:Business Transactions.btx:Entity_ Party.cor:Party_ Authority Registered Identifier,BtxbTran.BtxePart.CorpAthyRegsIdnr,【外部機関登録識別子】,外部機関に登録され、当該機関によって発行または認証される識別子を表すクラス。識別子の登録・認証を行う外部機関に関する情報も提供する。,cor:entityPartyAuthorityRegisteredIdentifier,/btx:businessTransactions/btx:entityParty/cor:entityPartyAuthorityRegisteredIdentifier
7,4,A,REF,cor:Entity Party Authority Registered Identifier ID,,0..1,,"Identifier of the registered authority identifier record within this report, used to uniquely identify and reference the instance.",cor,cor:Party_ Authority Registered Identifier,CO01a_01,/BT01a/CO01a/CO01a_01,$.btx:Business Transactions.btx:Entity_ Party.cor:Party_ Authority Registered Identifier.cor:Authority Registered ID,BtxbTran.BtxePart.CorpAthyRegsIdnr.CortRegsId,外部機関登録識別子ID,外部機関に登録識別子のレコードを一意に識別するためのID。,cor:entityPartyAuthorityRegisteredIdentifierId,/btx:businessTransactions/btx:entityParty/cor:entityPartyAuthorityRegisteredIdentifier/cor:entityPartyAuthorityRegisteredIdentifierId
8,4,A,REF,cor:Entity Party Authority Registered Identifier Code,,0..1,,Code identifying the external authority with which the identifier is registered.,cor,cor:Party_ Authority Registered Identifier,CO01a_03,/BT01a/CO01a/CO01a_03,$.btx:Business Transactions.btx:Entity_ Party.cor:Party_ Authority Registered Identifier.cor:Authority Code,BtxbTran.BtxePart.CorpAthyRegsIdnr.CortCod,外部機関コード,当該識別子が登録されている外部機関を識別するコード。（例：税務当局コード）。,cor:entityPartyAuthorityRegisteredIdentifierCode,/btx:businessTransactions/btx:entityParty/cor:entityPartyAuthorityRegisteredIdentifier/cor:entityPartyAuthorityRegisteredIdentifierCode
9,3,C,,bus:Entity Party Phone,,0..*,,"Phone number information, as a specialisation of Communication.",bus,bus:Party_ Phone,BU02a,/BT01a/BU02a,$.btx:Business Transactions.btx:Entity_ Party.bus:Party_ Phone,BtxbTran.BtxePart.BuspPhon,【電話番号】,電話番号情報（通信手段の特化）。,bus:entityPartyPhone,/btx:businessTransactions/btx:entityParty/bus:entityPartyPhone
10,4,A,,bus:Entity Party Phone Communication URI Identifier,,0..1,,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,bus:Party_ Phone,BU02a_BU01_01,/BT01a/BU02a/BU02a_BU01_01,$.btx:Business Transactions.btx:Entity_ Party.bus:Party_ Phone.bus:Communication_ URI Identifier,BtxbTran.BtxePart.BuspPhon.BuscUriIdnr,URI,メールアドレスやWebアドレス等のURI。,bus:entityPartyPhoneCommunicationUriIdentifier,/btx:businessTransactions/btx:entityParty/bus:entityPartyPhone/bus:entityPartyPhoneCommunicationUriIdentifier
