name,B,category,seq,account_name,amount,type,level,Ledger_Account_Number,English_Label
　　　　　　固定資産圧縮積立金,0,利益剰余金,,固定資産圧縮積立金,,1,6,10C130090,Reserve for tax purpose reduction entry of non-current assets
　　　　　　固定資産圧縮特別勘定積立金,0,利益剰余金,,固定資産圧縮特別勘定積立金,,1,6,10C130100,Reserve for special account for tax purpose reduction entry of non-current assets
　　　　　　特別償却準備金,0,利益剰余金,,特別償却準備金,,1,6,10C130110,Reserve for special depreciation
　　　　　　プログラム等準備金,0,利益剰余金,,プログラム等準備金,,1,6,10C130120,Reserve for software programs
　　　　　　海外投資等損失準備金,0,利益剰余金,,海外投資等損失準備金,,1,6,10C130130,Reserve for overseas investment loss
　　　　　　研究開発積立金,0,利益剰余金,,研究開発積立金,,1,6,10C130140,Reserve for research and development
　　　　　　配当積立金,0,利益剰余金,,配当積立金,,1,6,10C130150,Reserve for dividends
　　　　　　配当準備金,0,利益剰余金,,配当準備金,,1,6,10C130160,Reserve for dividends
　　　　　　配当準備積立金,0,利益剰余金,,配当準備積立金,,1,6,10C130170,Reserve for dividends
　　　　　　配当引当積立金,0,利益剰余金,,配当引当積立金,,1,6,10C130180,Reserve for dividends
　　　　　　退職給与積立金,0,利益剰余金,,退職給与積立金,,1,6,10C130190,Reserve for retirement allowance
　　　　　　退職積立金,0,利益剰余金,,退職積立金,,1,6,10C130200,Reserve for retirement allowance
　　　　　　退職手当積立金,0,利益剰余金,,退職手当積立金,,1,6,10C130210,Reserve for retirement allowance
　　　　　　退職慰労積立金,0,利益剰余金,,退職慰労積立金,,1,6,10C130220,Reserve for retirement allowance
　　　　　　役員退職積立金,0,利益剰余金,,役員退職積立金,,1,6,10C130230,Reserve for retirement allowance for directors (and other officers)
　　　　　　圧縮記帳積立金,0,利益剰余金,,圧縮記帳積立金,,1,6,10C130240,Reserve for tax purpose reduction entry
　　　　　　圧縮積立金,0,利益剰余金,,圧縮積立金,,1,6,10C130250,Reserve for tax purpose reduction entry
　　　　　　土地圧縮積立金,0,利益剰余金,,土地圧縮積立金,,1,6,10C130260,Reserve for tax purpose reduction entry of land
　　　　　　建物圧縮積立金,0,利益剰余金,,建物圧縮積立金,,1,6,10C130270,Reserve for tax purpose reduction entry of buildings
　　　　　　不動産圧縮積立金,0,利益剰余金,,不動産圧縮積立金,,1,6,10C130280,Reserve for tax purpose reduction entry of real estate
　　　　　　資産圧縮積立金,0,利益剰余金,,資産圧縮積立金,,1,6,10C130290,Reserve for tax purpose reduction entry of assets
　　　　　　償却資産圧縮積立金,0,利益剰余金,,償却資産圧縮積立金,,1,6,10C130300,Reserve for tax purpose reduction entry of depreciable assets
　　　　　　買換資産圧縮積立金,0,利益剰余金,,買換資産圧縮積立金,,1,6,10C130310,Reserve for tax purpose reduction entry of replacement assets
　　　　　　買換資産積立金,0,利益剰余金,,買換資産積立金,,1,6,10C130320,Reserve for property replacement
　　　　　　特別償却積立金,0,利益剰余金,,特別償却積立金,,1,6,10C130330,Reserve for special depreciation
