type,shape,label,description,uri,thumbnail,source_seq,target_seq,group,visible,text_color,text_size,color,style,size,width,height,radius,x,y,seq
Content,THUMBNAIL,Accounting and Audit Reference Data Model,,https://uncefact.unece.org/display/uncefactpublic/Accounting+and+Audit+Reference+Data+Model,https://uncefact.unece.org/plugins/servlet/themepress/brikitservlet/designs/themes/canvas/images/UNECE+logo-blue-english.png,,,,true,DarkSlateGray,M,AliceBlue,undefined,,100,60,,75.99999618530273,-125.00000762939453,1
Content,THUMBNAIL,180716 3b A+A AAA-RDM project proposal,[object Object],content/2f754971-e1b3-436c-9148-29c4a18a100f/2025/05/180716_3b_A+A_AAA-RDM_project_proposal.pdf,thumbnail/2f754971-e1b3-436c-9148-29c4a18a100f/2025/05/53f92a76-2f30-4597-b321-6f7995bc325a.jpg,,,,true,DarkSlateGray,M,AliceBlue,undefined,,77,100,,281.99999237060547,-126.00000762939453,2
Content,THUMBNAIL,181029-3x AAA RDM - AT HoD support,[object Object],content/2f754971-e1b3-436c-9148-29c4a18a100f/2025/05/181029-3x_AAA_RDM_-_AT_HoD_support.pdf,thumbnail/2f754971-e1b3-436c-9148-29c4a18a100f/2025/05/9d5ddddc-88a6-4aeb-9fdf-80a7ae97acbf.jpg,,,,true,DarkSlateGray,M,AliceBlue,undefined,,70.5,100,,372.0000238418579,-69,3
Content,THUMBNAIL,190218-3x A+A RDM HoD support FI,[object Object],content/2f754971-e1b3-436c-9148-29c4a18a100f/2025/05/190218-3x_A+A_RDM_HoD_support_FI.pdf,thumbnail/2f754971-e1b3-436c-9148-29c4a18a100f/2025/05/1e644e2c-98fe-4544-be66-c2b11f04c111.jpg,,,,true,DarkSlateGray,M,AliceBlue,undefined,,70.5,100,,293.99999046325684,53,4
Content,THUMBNAIL,190218-3x A+A RDM HoD support US,[object Object],content/2f754971-e1b3-436c-9148-29c4a18a100f/2025/05/190218-3x_A+A_RDM_HoD_support_US.pdf,thumbnail/2f754971-e1b3-436c-9148-29c4a18a100f/2025/05/94e4c045-696d-43ce-ab6b-6083bbf1e9f4.jpg,,,,true,DarkSlateGray,M,AliceBlue,undefined,,70.5,100,,376.99998474121094,126.00000101327896,5
Link,HORIZONTAL,,,,,1,2,,true,DarkSlateGray,M,Silver,SOLID,2,,,,160,-125.50000762939453,1
Link,HORIZONTAL,,,,,1,3,,true,DarkSlateGray,M,Silver,SOLID,2,,,,159,-97.00000381469727,2
Link,HORIZONTAL,,,,,1,4,,true,DarkSlateGray,M,Silver,SOLID,2,,,,159,-36.000003814697266,3
Link,HORIZONTAL,,,,,1,5,,true,DarkSlateGray,M,Silver,SOLID,2,,,,159,0.49999669194221497,4
