sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local
1000,1,C,,Address,,,,A class that specifies the location details of an individual or entity.,General,0,Address,GE03a,/GE03a,$.Address,Adr,,
1001,2,A,,Street Address1,Name,0..1,Name Medium,The primary line of the street address.,General,0,Address,GE03a_01,/GE03a/GE03a_01,$.Address.Street Address1,Adr.StrtAddrs,,
1002,2,A,,Street Address2,Name,0..1,Name Medium,"The secondary line of the street address, if applicable.",General,0,Address,GE03a_02,/GE03a/GE03a_02,$.Address.Street Address2,Adr.StrtAddrs,,
1003,2,A,,City Name,Name,0..1,CITY NAME,The municipal designation within an address.,General,0,Address,GE03a_03,/GE03a/GE03a_03,$.Address.City Name,Adr.CtyNam,,
1004,2,A,,State Province Code,Code,0..1,STATE PROVINCE CODE,The code for the state or province of the address as specified by ISO 3166-2.,General,0,Address,GE03a_04,/GE03a/GE03a_04,$.Address.State Province Code,Adr.SttPrvncCd,,
1005,2,A,,Postal Code,Code,0..1,POSTAL CODE,The code that identifies a specific geographic delivery area for an address.,General,0,Address,GE03a_05,/GE03a/GE03a_05,$.Address.Postal Code,Adr.PstlCd,,
1006,2,A,,Country Code,Code,0..1,COUNTRY CODE,"The official code representing the country of an address, as standardized by ISO 3166-1.",General,0,Address,GE03a_06,/GE03a/GE03a_06,$.Address.Country Code,Adr.CntryCd,,
1007,1,C,,Contact,,,,A class that details the communication information for an individual or entity.,General,0,Contact,GE07a,/GE07a,$.Contact,Cnt,,
1008,2,A,,Name,Name,0..1,Name Medium,The full name of an individual or entity that is a point of contact.,General,0,Contact,GE07a_01,/GE07a/GE07a_01,$.Contact.Name,Cnt.Nam,,
1009,2,A,,Phone,Char,0..1,PHONE NUMBER,The telephone number associated with a contact.,General,0,Contact,GE07a_02,/GE07a/GE07a_02,$.Contact.Phone,Cnt.Phn,,
1010,2,A,,Email,Char,0..1,EMAIL,The electronic mail address associated with a contact.,General,0,Contact,GE07a_03,/GE07a/GE07a_03,$.Contact.Email,Cnt.Eml,,
1011,1,C,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a contract.,Purchase,0,ID,PR01a_GE08_01,/PR01a_GE08_01,$.Purchase Contract.Contract.ID,PurCntrc.Id,,
1012,2,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a contract.,Purchase,0,Contract,PR01b_GE08_01,/PR01a_GE08_01/PR01b_GE08_01,$.Purchase Contract.Contract.ID,PurCntrc.Id,,
1013,2,A,,Number,Char,0..1,Char Long,"The number for a contract, facilitating its recognition and retrieval within a system.",Purchase,0,Contract,PR01c_GE08_02,/PR01a_GE08_01/PR01c_GE08_02,$.Purchase Contract.Contract.Number,PurCntrc.Nr,,
1014,2,A,,Type Name,Name,0..1,Name Medium,The classification title given to a contract that specifies its nature and terms within the context of sales and purchase activities.,Purchase,0,Contract,PR01d_GE08_03,/PR01a_GE08_01/PR01d_GE08_03,$.Purchase Contract.Contract.Type Name,PurCntrc.TypNam,,
1015,2,A,,Beginning Date,Date,0..1,DATE,The date on which the terms of a contract become effective.,Purchase,0,Contract,PR01e_GE08_04,/PR01a_GE08_01/PR01e_GE08_04,$.Purchase Contract.Contract.Beginning Date,PurCntrc.BegDt,,
1016,2,A,,Ending Date,Date,0..1,DATE,The date on which the terms of a contract conclude or expire.,Purchase,0,Contract,PR01f_GE08_05,/PR01a_GE08_01/PR01f_GE08_05,$.Purchase Contract.Contract.Ending Date,PurCntrc.EndDt,,
1017,2,A,,Status,Code,0..1,STATUS CODE,The current state of the contract's lifecycle.,Purchase,0,Contract,PR01g_GE08_06,/PR01a_GE08_01/PR01g_GE08_06,$.Purchase Contract.Contract.Status,PurCntrc.Stat,,
1018,2,A,,Remark,Text,0..1,Text Medium,Annotations or supplemental information for a contract.,Purchase,0,Contract,PR01h_GE08_07,/PR01a_GE08_01/PR01h_GE08_07,$.Purchase Contract.Contract.Remark,PurCntrc.Remrk,,
1019,2,R,,(Transaction) Currency,,0..1,,"The reference association to the Transaction Currency class, which is a class holds information about different currencies.",Purchase,30,(Transaction) Currency,BS04a,/PR01a_GE08_01/BS04a,$.Purchase Contract.Contract.(Transaction) Currency,PurCntrc.TrnscCur,,
