sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,xpath
1062,3,A,,Fiscal Year Start,Date,0..1,,"Start of fiscal year. Where appropriate, gl-corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",gl-cor,0,Entity Information,CO03a_BU03_02,/CO12a/CO03a/CO03a_BU03_02,$.Accounting Entries.Entity Information.Fiscal Year Start,AccntEntrs.EnttyInfrm.FiscYrStrt,会計年度開始日付,会計年度の開始日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,gl-bus:fiscalYearStart
1063,3,A,,Fiscal Year End,Date,0..1,,"End of fiscal year. Where appropriate, gl-corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",gl-cor,0,Entity Information,CO03a_BU03_03,/CO12a/CO03a/CO03a_BU03_03,$.Accounting Entries.Entity Information.Fiscal Year End,AccntEntrs.EnttyInfrm.FiscYrEnd,会計年度終了日付,会計年度の終了日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,gl-bus:fiscalYearEnd
1064,3,C,,Accountant,,0..*,,Information about the relevant external accountant,gl-cor,0,Accountant,BU08b,/CO12a/CO03a/BU08b,$.Accounting Entries.Entity Information.Accountant,AccntEntrs.EnttyInfrm.Accnt,【会計士情報】,関連する外部会計士に関する情報。,
1065,4,A,,Name,Name,0..1,,Name of the accountant,gl-cor,0,Accountant,BU08b_01,/CO12a/CO03a/BU08b/BU08b_01,$.Accounting Entries.Entity Information.Accountant.Name,AccntEntrs.EnttyInfrm.Accnt.Nam,会計士名,会計士の名前。,
1066,4,A,,Type of Engagement,Name,0..1,,Type of engagement being performed by external accountant,gl-cor,0,Accountant,BU08b_02,/CO12a/CO03a/BU08b/BU08b_02,$.Accounting Entries.Entity Information.Accountant.Type of Engagement,AccntEntrs.EnttyInfrm.Accnt.TypOfEnggm,契約種別,"外部会計士によって実行される契約の種別。
[設定値のリスト]
(audit：監査)、(review：検査)、(compilation：調整)、(tax：税)、(other：その他) ",
1067,4,A,,Type of Engagement Description,Text,0..1,,Free format description of the type of engagement,gl-cor,0,Accountant,BU08b_03,/CO12a/CO03a/BU08b/BU08b_03,$.Accounting Entries.Entity Information.Accountant.Type of Engagement Description,AccntEntrs.EnttyInfrm.Accnt.TypOfEnggmDscr,契約種別説明,契約種別の説明。,
1068,4,A,,Contact Type,Name,0..1,,Contact Type for Accountant Contact,gl-cor,0,Accountant,BU08b_04,/CO12a/CO03a/BU08b/BU08b_04,$.Accounting Entries.Entity Information.Accountant.Contact Type,AccntEntrs.EnttyInfrm.Accnt.CntTyp,会計士担当者役割,会計士の担当者の種別,
1069,4,A,,Location ID cross reference,Char,0..1,,This code is used to associate the contact with a specific location for the Accountant. Its value should be the same as that of the accountantAddressLocationIdentifier,gl-cor,0,Accountant,BU08b_05,/CO12a/CO03a/BU08b/BU08b_05,$.Accounting Entries.Entity Information.Accountant.Location ID cross reference,AccntEntrs.EnttyInfrm.Accnt.LctIdCrssRef,会計士所在地相互参照情報,"担当者と会計士の所在地情報を関係付けるためのコード。
accountantAddressLocationIdentifierと同じ値であるべき。",
1070,4,C,,Address,,0..*,,Address structure for the reporting entity,gl-cor,0,Address,BU04b,/CO12a/CO03a/BU08b/BU04b,$.Accounting Entries.Entity Information.Accountant.Address,AccntEntrs.EnttyInfrm.Accnt.Adr,【住所】,報告事業体の住所構造体。,
1071,5,A,,Name,Name,0..1,,Name of organization used at this address,gl-cor,0,Address,BU04b_01,/CO12a/CO03a/BU08b/BU04b/BU04b_01,$.Accounting Entries.Entity Information.Accountant.Address.Name,AccntEntrs.EnttyInfrm.Accnt.Adr.Nam,住所名,この住所で使用される組織の名前。,
