sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,module,label_local,definition_local,id,inherited,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
8653.0,2.0,Attribute,,Document,Response, Date Time,,0..1,The code indicating the response.,Abstract Class,,,UN2007_14,5.0,,,,,,,,,,,
8654.0,2.0,Attribute,,Document,Item Identification, Identifier,,0..1,The unique identifier of an item.,Abstract Class,,,UN2007_15,6.0,,,,,,,,,,,
8665.0,2.0,Attribute,,Document,Acceptance, Date Time,,0..1,"The date, time, date time or other date time value.",Abstract Class,,,UN2007_26,7.0,,,,,,,,,,,
8670.0,2.0,Attribute,,Document,Information, Text,,0..1,"Information, expressed as text.",Abstract Class,,,UN2007_31,10.0,,,,,,,,,,,
8676.0,2.0,Attribute,,Document,Revision, Date Time,,0..1,"The revision, expressed as text.",Abstract Class,,,UN2007_22,12.0,,,,,,,,,,,
8679.0,2.0,Attribute,,Document,Cancellation, Date Time,,0..1,"The date, time, date time, or other date time value of a cancellation of the archive document.",Abstract Class,,,UN2007_39,5.0,,,,,,,,,,,
10947.0,2.0,Attribute,,Document,Global_ Identification, Identifier,,0..1,The global identifier.,Abstract Class,,,UN2106_10,11.0,,,,,,,,,,,
10948.0,2.0,Attribute,,Document,Revision_ Identification, Identifier,,0..1,A unique identifier.,Abstract Class,,,UN2106_11,12.0,,,,,,,,,,,
10949.0,2.0,Attribute,,Document,Previous Revision_ Identification, Identifier,,0..1,The identifier of the previous revision of the exchanged document.,Abstract Class,,,UN2106_12,12.0,,,,,,,,,,,
10975.0,2.0,Attribute,,Document,Latest_ Revision, Date Time,,0..1,"The date, time, date time, or other date time value.",Abstract Class,,,UN2108_03,5.0,,,,,,,,,,,
11040.0,2.0,Attribute,,Document,Category, Code,,0..1,The code specifying a category.,Abstract Class,,,UN2110_11,12.0,,,,,,,,,,,
11042.0,2.0,Attribute,,Document,Subtype, Code,,0..1,A code specifying a subtype of the referenced document.,Abstract Class,,,UN2110_13,8.0,,,,,,,,,,,
11097.0,2.0,Attribute,,Document,Line Status Reason, Code,,0..1,"A reason, expressed as text.",Abstract Class,,,UN2111_03,8.0,,,,,,,,,,,
11098.0,2.0,Attribute,,Document,Response Reason, Code,,0..1,A code specifying a response reason.,Abstract Class,,,UN2111_04,11.0,,,,,,,,,,,
8642.0,2.0,Attribute,,Document,Type, Code,,0..*,"A type, expressed as text.",Abstract Class,,,UN2007_03,43.0,,,,,,,,,,,
8645.0,2.0,Attribute,,Document,Description, Text,,0..*,A textual description.,Abstract Class,,,UN2007_06,17.0,,,,,,,,,,,
8655.0,2.0,Attribute,,Document,Remarks, Text,,0..*,"Remarks, expressed as text.",Abstract Class,,,UN2007_16,7.0,,,,,,,,,,,
8656.0,2.0,Attribute,,Document,Language, Identifier,,0..*,A unique identifier.,Abstract Class,,,UN2007_17,12.0,,,,,,,,,,,
8658.0,2.0,Attribute,,Document,Line Count, Numeric,,0..*,The number of lines.,Abstract Class,,,UN2007_19,11.0,,,,,,,,,,,
8659.0,2.0,Attribute,,Document,Line, Identifier,,0..*,An identifier of a line.,Abstract Class,,,UN2007_20,12.0,,,,,,,,,,,
8692.0,2.0,Attribute,,Document,Status, Text,,0..*,A code specifying a status.,Abstract Class,,,UN2007_12,22.0,,,,,,,,,,,
11038.0,2.0,Attribute,,Document,Requested_ Response Type, Code,,0..*,A code specifying a type of response requested.,Abstract Class,,,UN2110_09,11.0,,,,,,,,,,,
12302.0,2.0,Attribute,,Document,Reason_ Information, Text,,0..*,"Reason information, expressed as text.",Abstract Class,,,UN2112_04,5.0,,,,,,,,,,,
10951.0,2.0,Composition,,Document,CI_ Specified,,Period,0..1,The specified period.,Abstract Class,,,UN2106_14,9.0,,,,,,,,,,,
11044.0,2.0,Composition,,Document,CI_ Trade,,Party,0..1,The party that issues the exchanged document.,Abstract Class,,,UN2110_15,5.0,,,,,,,,,,,
