sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,module,label_local,definition_local,id,inherited,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
12329.0,2.0,Attribute,,Financial Institution,Portuguese NCC_ Identification, Identifier,,0..1,The unique Portuguese National Clearing Code (NCC) identifier.,Abstract Class,,,UN2112_10,9.0,,,,,,,,,,,
12330.0,2.0,Attribute,,Financial Institution,Russian Central Bank_ Identification, Identifier,,0..1,The unique Russian Central Bank Identification Code identifier.,Abstract Class,,,UN2112_11,9.0,,,,,,,,,,,
12331.0,2.0,Attribute,,Financial Institution,Italian Domestic_ Identification, Identifier,,0..1,The unique Italian Domestic Identification Code identifier as assigned by the Associazione Bancaria Italiana (ABI).,Abstract Class,,,UN2112_12,9.0,,,,,,,,,,,
12332.0,2.0,Attribute,,Financial Institution,Austrian Bankleitzahl_ Identification, Identifier,,0..1,The unique Austrian Bankleitzahl identifier.,Abstract Class,,,UN2112_13,9.0,,,,,,,,,,,
12333.0,2.0,Attribute,,Financial Institution,Canadian Payments Association_ Identification, Identifier,,0..1,The unique Canadian Payments Association Routing Number identifier.,Abstract Class,,,UN2112_14,9.0,,,,,,,,,,,
12334.0,2.0,Attribute,,Financial Institution,SIC_ Identification, Identifier,,0..1,The unique Swiss Interbank Clearing (SIC) Code identifier.,Abstract Class,,,UN2112_15,9.0,,,,,,,,,,,
12335.0,2.0,Attribute,,Financial Institution,German Bankleitzahl_ Identification, Identifier,,0..1,The unique German Bankleitzahl identifier.,Abstract Class,,,UN2112_16,9.0,,,,,,,,,,,
12336.0,2.0,Attribute,,Financial Institution,Spanish Domestic Interbanking_ Identification, Identifier,,0..1,The unique Spanish Domestic Interbanking Code identifier as assigned by the Centro de Cooperacion Interbancaria (CCI).,Abstract Class,,,UN2112_17,9.0,,,,,,,,,,,
12337.0,2.0,Attribute,,Financial Institution,South African NCC_ Identification, Identifier,,0..1,The unique South African National Clearing Code (NCC) identifier as assigned by the South African Bankers Services Company Ltd. (BankServ).,Abstract Class,,,UN2112_18,9.0,,,,,,,,,,,
12338.0,2.0,Attribute,,Financial Institution,Hong Kong Bank_ Identification, Identifier,,0..1,The unique Hong Kong Bank Code identifier.,Abstract Class,,,UN2112_19,9.0,,,,,,,,,,,
12339.0,2.0,Attribute,,Financial Institution,Australian BSB_ Identification, Identifier,,0..1,The unique Australian Bank State Branch (BSB) Code identifier as assigned by the Australian Payments Clearing Association (APCA).,Abstract Class,,,UN2112_20,9.0,,,,,,,,,,,
12340.0,2.0,Attribute,,Financial Institution,Indian Financial System_ Identification, Identifier,,0..1,The unique Indian Financial System Code identifier.,Abstract Class,,,UN2112_21,9.0,,,,,,,,,,,
12341.0,2.0,Attribute,,Financial Institution,Hellenic Bank_ Identification, Identifier,,0..1,The unique Hellenic Bank Identification Code identifier.,Abstract Class,,,UN2112_22,9.0,,,,,,,,,,,
12342.0,2.0,Attribute,,Financial Institution,Polish National Clearing_ Identification, Identifier,,0..1,The unique Polish National Clearing Code identifier.,Abstract Class,,,UN2112_23,9.0,,,,,,,,,,,
12344.0,2.0,Attribute,,Financial Institution,Japan Financial Institution Common_ Identification, Identifier,,0..1,The Japan Financial Institution Common identifier as assigned by the Japanese Bankers Association.,Abstract Class,,,UN2112_25,9.0,,,,,,,,,,,
10651.0,2.0,Composition,,Financial Institution,Financial Institution,,Address,0..1,The location address.,Abstract Class,,,UN2102_03,11.0,,,,,,,,,,,
12346.0,2.0,Composition,,Financial Institution,Branch,,Financial Institution,0..1,The branch financial institution.,Abstract Class,,,UN2112_27,10.0,,,,,,,,,,,
247.0,1.0,Abstract Class,,Organization,,,,,A structured entity that acts as a legal or operational unit.,Abstract Class,,,UN2019,,,,,,,,,,,,
8838.0,2.0,Attribute,,Organization,Business Type, Code,,1..1,The code specifying the type of business.,Abstract Class,,,UN2020_02,8.0,,,,,,,,,,,
8839.0,2.0,Attribute,,Organization,Legal Classification, Code,,0..1,The code specifying the legal classification.,Abstract Class,,,UN2020_03,7.0,,,,,,,,,,,
8840.0,2.0,Attribute,,Organization,Name, Text,,0..1,"A name, expressed as text.",Abstract Class,,,UN2020_04,20.0,,,,,,,,,,,
8841.0,2.0,Attribute,,Organization,Identification, Identifier,,0..1,A unique identifier.,Abstract Class,,,UN2020_05,18.0,,,,,,,,,,,
10352.0,2.0,Composition,,Organization,Tendering,,Address,0..1,A tendering for the organization.,Abstract Class,,,UN2094_09,6.0,,,,,,,,,,,
10350.0,2.0,Composition,,Organization,Tendering,,Contact,0..*,A tendering for the organization.,Abstract Class,,,UN2094_07,6.0,,,,,,,,,,,
284.0,1.0,Abstract Class,,Person,,,,,An individual human being with a specified role or responsibility.,Abstract Class,,,UN2022,,,,,,,,,,,,
8874.0,2.0,Attribute,,Person,Identification, Identifier,,0..1,An identifier for the person.,Abstract Class,,,UN2023_01,10.0,,,,,,,,,,,
8875.0,2.0,Attribute,,Person,Name, Text,,0..1,"The name, expressed as text, of the person.",Abstract Class,,,UN2023_02,13.0,,,,,,,,,,,
8876.0,2.0,Attribute,,Person,Middle Name, Text,,0..1,"The middle name, expressed as text, of the wrap person.",Abstract Class,,,UN2023_03,8.0,,,,,,,,,,,
8877.0,2.0,Attribute,,Person,Family Name, Text,,0..1,"A family name, expressed as text.",Abstract Class,,,UN2023_04,9.0,,,,,,,,,,,
8878.0,2.0,Attribute,,Person,Title, Text,,0..1,"The title, expressed as text.",Abstract Class,,,UN2023_05,9.0,,,,,,,,,,,
8879.0,2.0,Attribute,,Person,Salutation, Text,,0..1,"The salutation, expressed as text.",Abstract Class,,,UN2023_06,5.0,,,,,,,,,,,
8880.0,2.0,Attribute,,Person,Family Name Prefix, Text,,0..1,"The prefix, expressed as text.",Abstract Class,,,UN2023_07,7.0,,,,,,,,,,,
8881.0,2.0,Attribute,,Person,Language, Identifier,,0..1,The unique identifier.,Abstract Class,,,UN2023_08,8.0,,,,,,,,,,,
12312.0,2.0,Attribute,,Person,Given Name, Text,,0..1,"A given name, expressed as text.",Abstract Class,,,UN2112_02,5.0,,,,,,,,,,,
13314.0,2.0,Attribute,,Person,Gender, Code,,0..1,The code specifying the gender of the person.,Abstract Class,,,UN2147_07,5.0,,,,,,,,,,,
13316.0,2.0,Attribute,,Person,Birth, Date Time,,0..1,The birth date of the transport person.,Abstract Class,,,UN2147_09,5.0,,,,,,,,,,,
297.0,1.0,Abstract Class,,Report,,,,,"A compilation of information presented to inform, evidence, or document results, status, or performance.",Abstract Class,,,UN2023,,,,,,,,,,,,
8887.0,2.0,Attribute,,Report,Required Items List, Identifier,,0..1,The unique identifier.,Abstract Class,,,UN2024_01,5.0,,,,,,,,,,,
8888.0,2.0,Attribute,,Report,Name, Text,,0..1,"The name, expressed as text, of the report.",Abstract Class,,,UN2024_02,6.0,,,,,,,,,,,
8889.0,2.0,Attribute,,Report,Item, Identifier,,0..1,An item for the report.,Abstract Class,,,UN2024_03,6.0,,,,,,,,,,,
301.0,1.0,Abstract Class,,Tax,,,,,"A compulsory levy imposed by an authority, or the amounts and system used to calculate it.",Abstract Class,,,UN2024,,,,,,,,,,,,
8891.0,2.0,Attribute,,Tax,Identification, Identifier,,0..1,An identifier for the tax.,Abstract Class,,,UN2025_01,5.0,,,,,,,,,,,
8893.0,2.0,Attribute,,Tax,Type, Code,,0..1,The code specifying a type of tax.,Abstract Class,,,UN2025_03,12.0,,,,,,,,,,,
8895.0,2.0,Attribute,,Tax,Calculated, Rate,,0..1,The rate used by the tax authority.,Abstract Class,,,UN2025_02,11.0,,,,,,,,,,,
8896.0,2.0,Attribute,,Tax,Calculation Sequence, Numeric,,0..1,A numeric expression of the sequence.,Abstract Class,,,UN2025_05,7.0,,,,,,,,,,,
8898.0,2.0,Attribute,,Tax,Basis, Amount,,0..1,The monetary value used as the basis.,Abstract Class,,,UN2025_06,10.0,,,,,,,,,,,
8899.0,2.0,Attribute,,Tax,Category, Code,,0..1,The code specifying the category to which the tax.,Abstract Class,,,UN2025_07,9.0,,,,,,,,,,,
8900.0,2.0,Attribute,,Tax,Currency, Code,,0..1,The code specifying the currency.,Abstract Class,,,UN2025_08,9.0,,,,,,,,,,,
8901.0,2.0,Attribute,,Tax,Jurisdiction, Text,,0..1,"A jurisdiction, expressed as text.",Abstract Class,,,UN2025_09,9.0,,,,,,,,,,,
8902.0,2.0,Attribute,,Tax,Customs Duty, Indicator,,0..1,The indication of whether or not the entry tax is a customs duty.,Abstract Class,,,UN2025_10,10.0,,,,,,,,,,,
8903.0,2.0,Attribute,,Tax,Exemption Reason, Code,,0..1,A code specifying a reason.,Abstract Class,,,UN2025_04,10.0,,,,,,,,,,,
8904.0,2.0,Attribute,,Tax,Tax Basis Allowance, Rate,,0..1,The rate of the tax basis allowance (deduction or discount) used to calculate the entry tax.,Abstract Class,,,UN2025_11,7.0,,,,,,,,,,,
450.0,1.0,Abstract Class,,Payment,,,,,The discharge of an obligation by transferring funds or securities between parties.,Abstract Class,,,UN2036,,,,,,,,,,,,
9040.0,2.0,Attribute,,Payment,Paid, Amount,,1..1,The monetary value to be paid.,Abstract Class,,,UN2037_01,8.0,,,,,,,,,,,
9043.0,2.0,Attribute,,Payment,Identification, Identifier,,0..1,An identifier for the payment.,Abstract Class,,,UN2037_04,5.0,,,,,,,,,,,
1115.0,1.0,Abstract Class,,Address,,,,,Information that specifies where a person or organisation may be reached.,Abstract Class,,,UN2049,,,,,,,,,,,,
9705.0,2.0,Attribute,,Address,Identification, Identifier,,0..1,A unique identifier.,Abstract Class,,,UN2050_01,5.0,,,,,,,,,,,
9706.0,2.0,Attribute,,Address,Postcode, Code,,0..1,The postcode of the address.,Abstract Class,,,UN2050_02,11.0,,,,,,,,,,,
9707.0,2.0,Attribute,,Address,Line One, Text,,0..1,"The first free form line, expressed as text, of the address.",Abstract Class,,,UN2050_03,8.0,,,,,,,,,,,
9708.0,2.0,Attribute,,Address,Line Two, Text,,0..1,"The second free form line, expressed as text, of the address.",Abstract Class,,,UN2050_04,8.0,,,,,,,,,,,
9709.0,2.0,Attribute,,Address,Line Three, Text,,0..1,"The third free form line, expressed as text, of the address.",Abstract Class,,,UN2050_05,7.0,,,,,,,,,,,
9710.0,2.0,Attribute,,Address,City Name, Text,,0..1,"The name, expressed as text, of the city, town or village.",Abstract Class,,,UN2050_06,10.0,,,,,,,,,,,
9711.0,2.0,Attribute,,Address,Country, Identifier,,0..1,The identifier of a country.,Abstract Class,,,UN2050_07,11.0,,,,,,,,,,,
9712.0,2.0,Attribute,,Address,City Sub-Division Name, Text,,0..1,"A name, expressed as text, of a sub-division of a city.",Abstract Class,,,UN2050_08,5.0,,,,,,,,,,,
9713.0,2.0,Attribute,,Address,Country Name, Text,,0..1,"A name, expressed as text, of the country.",Abstract Class,,,UN2050_09,9.0,,,,,,,,,,,
9714.0,2.0,Attribute,,Address,Country Sub-Division Name, Text,,0..1,"The name, expressed as text, of a country sub-division.",Abstract Class,,,UN2050_10,9.0,,,,,,,,,,,
9716.0,2.0,Attribute,,Address,Post Office Box, Text,,0..1,"The post office box, expressed as text.",Abstract Class,,,UN2050_12,7.0,,,,,,,,,,,
12856.0,2.0,Attribute,,Address,Line Four, Text,,0..1,"The fourth free form line, expressed as text, of the address.",Abstract Class,,,UN2136_08,6.0,,,,,,,,,,,
12857.0,2.0,Attribute,,Address,Line Five, Text,,0..1,"The fifth free form line, expressed as text, of the address.",Abstract Class,,,UN2136_09,6.0,,,,,,,,,,,
12858.0,2.0,Attribute,,Address,Street Name, Text,,0..1,"A name, expressed as text, of a street or thoroughfare.",Abstract Class,,,UN2136_10,5.0,,,,,,,,,,,
12863.0,2.0,Attribute,,Address,Country Sub-Division, Identifier,,0..1,The unique identifier.,Abstract Class,,,UN2136_15,6.0,,,,,,,,,,,
12867.0,2.0,Attribute,,Address,Building Number, Text,,0..1,"The building number, expressed as text.",Abstract Class,,,UN2136_19,5.0,,,,,,,,,,,
14613.0,2.0,Attribute,,Address,Type, Code,,0..1,The code specifying the type of address.,Abstract Class,,,UN2156_12,5.0,,,,,,,,,,,
1129.0,1.0,Abstract Class,,Communication,,,,,"The exchange of messages or information between persons or organisations, including contact details enabling that exchange.",Abstract Class,,,UN2050,,,,,,,,,,,,
9719.0,2.0,Attribute,,Communication,URI, Identifier,,0..1,The Uniform Resource Identifier (URI).,Abstract Class,,,UN2051_01,6.0,,,,,,,,,,,
9721.0,2.0,Attribute,,Communication,Complete Number, Text,,0..1,"The complete number, expressed as text.",Abstract Class,,,UN2051_03,6.0,,,,,,,,,,,
1135.0,1.0,Abstract Class,,Period,,,,,A span of time defined by a start and end point.,Abstract Class,,,UN2051,,,,,,,,,,,,
9725.0,2.0,Attribute,,Period,Start, Date Time,,0..1,The date or date time value.,Abstract Class,,,UN2052_01,14.0,,,,,,,,,,,
9726.0,2.0,Attribute,,Period,End, Date Time,,0..1,The date or date time value.,Abstract Class,,,UN2052_02,14.0,,,,,,,,,,,
9727.0,2.0,Attribute,,Period,Duration, Measure,,0..1,"A duration, expressed as text.",Abstract Class,,,UN2052_03,6.0,,,,,,,,,,,
9728.0,2.0,Attribute,,Period,Inclusive, Indicator,,0..1,The indication of whether or not start and end dates are included.,Abstract Class,,,UN2052_04,6.0,,,,,,,,,,,
9729.0,2.0,Attribute,,Period,Description, Text,,0..1,The textual description of the base period.,Abstract Class,,,UN2052_05,10.0,,,,,,,,,,,
9730.0,2.0,Attribute,,Period,Complete, Date Time,,0..1,The date or date time value.,Abstract Class,,,UN2052_06,5.0,,,,,,,,,,,
1158.0,1.0,Abstract Class,,Process,,,,,"A sequence of operations or events that produces, transforms, handles, or disposes of something.",Abstract Class,,,UN2052,,,,,,,,,,,,
13178.0,2.0,Attribute,,Process,Description, Text,,0..1,A textual description.,Abstract Class,,,UN2147_02,10.0,,,,,,,,,,,
9748.0,2.0,Attribute,,Process,Type, Code,,1..*,The code specifying the type of process.,Abstract Class,,,UN2053_01,12.0,,,,,,,,,,,
1163.0,1.0,Abstract Class,,Product,,,,,"A good or service produced by human or natural effort, or treated as a deliverable for trade.",Abstract Class,,,UN2053,,,,,,,,,,,,
9905.0,2.0,Attribute,,Product,Identification, Identifier,,0..1,An identifier for the product.,Abstract Class,,,UN2062_01,11.0,,,,,,,,,,,
9906.0,2.0,Attribute,,Product,Name, Text,,0..1,"A name, expressed as text.",Abstract Class,,,UN2062_02,7.0,,,,,,,,,,,
9908.0,2.0,Attribute,,Product,Type, Code,,0..1,The code specifying an additional type.,Abstract Class,,,UN2062_04,6.0,,,,,,,,,,,
9911.0,2.0,Attribute,,Product,Description, Code,,0..1,A textual description.,Abstract Class,,,UN2062_03,12.0,,,,,,,,,,,
10786.0,2.0,Attribute,,Product,Seller Assigned_ Identification, Identifier,,0..1,The seller assigned identifier.,Abstract Class,,,UN2104_03,5.0,,,,,,,,,,,
10787.0,2.0,Attribute,,Product,Buyer Assigned_ Identification, Identifier,,0..1,The buyer assigned identifier.,Abstract Class,,,UN2104_04,5.0,,,,,,,,,,,
10785.0,2.0,Attribute,,Product,Global_ Identification, Identifier,,0..*,A global identifier.,Abstract Class,,,UN2104_02,5.0,,,,,,,,,,,
10788.0,2.0,Attribute,,Product,Manufacturer Assigned_ Identification, Identifier,,0..*,A manufacturer assigned identifier.,Abstract Class,,,UN2104_05,5.0,,,,,,,,,,,
10789.0,2.0,Attribute,,Product,Industry Assigned_ Identification, Identifier,,0..*,An industry assigned identifier.,Abstract Class,,,UN2104_06,5.0,,,,,,,,,,,
1179.0,1.0,Abstract Class,,Instructions,,,,,"Information that tells someone how to perform, handle, control, or respond to an activity or situation.",Abstract Class,,,UN2055,,,,,,,,,,,,
10926.0,2.0,Attribute,,Instructions,Description, Text,,0..1,A textual description of these disposal instructions.,Abstract Class,,,UN2105_03,19.0,,,,,,,,,,,
15915.0,2.0,Attribute,,Instructions,Type, Text,,0..1,"A type, expressed as text.",Abstract Class,,,UN2175_03,8.0,,,,,,,,,,,
12413.0,2.0,Attribute,,Instructions,Handling, Text,,0..*,"The handling, expressed as text.",Abstract Class,,,UN2115_01,7.0,,,,,,,,,,,
12475.0,2.0,Attribute,,Instructions,Procedure, Text,,0..*,"A procedure, expressed as text.",Abstract Class,,,UN2118_02,9.0,,,,,,,,,,,
1196.0,1.0,Abstract Class,,Country Sub-Division,,,,,An administrative or geographic region within a country.,Abstract Class,,,UN2058,,,,,,,,,,,,
9866.0,2.0,Attribute,,Country Sub-Division,Identification, Identifier,,1..1,An identifier for the country sub-division.,Abstract Class,,,UN2059_01,6.0,,,,,,,,,,,
1217.0,1.0,Abstract Class,,Material,,,,,"A substance or matter used as an input, output, or waste in a process.",Abstract Class,,,UN2061,,,,,,,,,,,,
9892.0,2.0,Attribute,,Material,Composition Description, Text,,0..1,The textual description of the composition of the notified material.,Abstract Class,,,UN2062_03,5.0,,,,,,,,,,,
9891.0,2.0,Attribute,,Material,Type, Code,,0..*,The code specifying the type of material.,Abstract Class,,,UN2062_02,7.0,,,,,,,,,,,
1325.0,1.0,Abstract Class,,Characteristic,,,,,"A defining attribute or property of an object, process, organisation, or item.",Abstract Class,,,UN2072,,,,,,,,,,,,
10002.0,2.0,Attribute,,Characteristic,Identification, Identifier,,0..1,An identifier for the characteristic.,Abstract Class,,,UN2073_01,12.0,,,,,,,,,,,
10003.0,2.0,Attribute,,Characteristic,Type, Code,,0..1,The code specifying a type of characteristic.,Abstract Class,,,UN2073_02,21.0,,,,,,,,,,,
10004.0,2.0,Attribute,,Characteristic,Description, Text,,0..1,A textual description of the characteristic.,Abstract Class,,,UN2073_03,21.0,,,,,,,,,,,
10011.0,2.0,Attribute,,Characteristic,Value, Amount,,0..1,A measure of a value.,Abstract Class,,,UN2073_04,20.0,,,,,,,,,,,
12625.0,2.0,Composition,,Characteristic,Referenced,,Standard,0..1,A referenced for the characteristic.,Abstract Class,,,UN2126_07,7.0,,,,,,,,,,,
10012.0,2.0,Composition,,Characteristic,Specified,,Method,0..*,A specified for the characteristic.,Abstract Class,,,UN2073_05,7.0,,,,,,,,,,,
10013.0,2.0,Composition,,Characteristic,Specified,,Parameter,0..*,A parameter specified.,Abstract Class,,,UN2073_06,8.0,,,,,,,,,,,
10014.0,2.0,Composition,,Characteristic,Specified,,Range,0..*,A specified for the characteristic.,Abstract Class,,,UN2073_07,8.0,,,,,,,,,,,
10015.0,2.0,Composition,,Characteristic,Specified,,Tolerance,0..*,A tolerance specified.,Abstract Class,,,UN2073_08,8.0,,,,,,,,,,,
1353.0,1.0,Abstract Class,,Contract,,,,,"An agreement between parties, typically enforceable by law, that defines obligations and terms.",Abstract Class,,,UN2074,,,,,,,,,,,,
15891.0,2.0,Attribute,,Contract,Issue, Date Time,,1..1,"The date, date time, or other date time value.",Abstract Class,,,UN2175_08,5.0,,,,,,,,,,,
10036.0,2.0,Attribute,,Contract,Identification, Identifier,,0..1,An identifier for the contract.,Abstract Class,,,UN2075_01,9.0,,,,,,,,,,,
1550.0,1.0,Abstract Class,,Event,,,,,"An occurrence at a particular time, often significant to a process, movement, or record.",Abstract Class,,,UN2085,,,,,,,,,,,,
10252.0,2.0,Attribute,,Event,Type, Code,,1..1,The code specifying the type of IS event.,Abstract Class,,,UN2086_02,12.0,,,,,,,,,,,
10253.0,2.0,Attribute,,Event,Occurrence, Date Time,,1..1,The date of the occurrence of the animal movement event.,Abstract Class,,,UN2086_03,20.0,,,,,,,,,,,
12747.0,2.0,Attribute,,Event,Identification, Identifier,,0..1,An identifier for the event.,Abstract Class,,,UN2130_01,16.0,,,,,,,,,,,
23318.0,2.0,Attribute,,Event,Recorded, Date Time,,0..1,"The date, time, date time, or other date time value at which the object event was recorded.",Abstract Class,,,UN2281_02,5.0,,,,,,,,,,,
23322.0,2.0,Attribute,,Event,Business_ Step, Code,,0..1,The code specifying the business step.,Abstract Class,,,UN2281_06,5.0,,,,,,,,,,,
23323.0,2.0,Attribute,,Event,Disposition, Code,,0..1,The code specifying the disposition.,Abstract Class,,,UN2281_07,5.0,,,,,,,,,,,
23325.0,2.0,Attribute,,Event,Process Type URI_ Identification, Identifier,,0..1,The Uniform Resource Identifier (URI) of the process type.,Abstract Class,,,UN2281_13,5.0,,,,,,,,,,,
