version,sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,acronym,code_list,attribute,element,label_local,definition_local,DEN,UNID
v4,89,2,Composition,,CI_ Trade Settlement_ Payment Means,Applicable,,Trade Settlement_ Financial Card,0..1,The trade settlement financial card applicable to this CI trade settlement payment means.,ASBIE, ,,ApplicableTradeSettlementFinancialCard,支払手段／金融カードグループ,支払手段の金融カードに関するグループ,CI_ Trade Settlement_ Payment Means. Applicable. Trade Settlement_ Financial Card,UN01006057
v1,90,1,Class,,CI_ Creditor_ Financial Account,,,,－,A specific Cross Industry (CI) business arrangement whereby credits arising from transactions are recorded.,ABIE, ,,CICreditorFinancialAccount,金融口座クラス,債権者の銀行口座のクラス,CI_ Creditor_ Financial Account. Details,UN01005398
v1,91,2,Attribute,,CI_ Creditor_ Financial Account,Account Name,Text,,0..1,"The account name, expressed as text, of this CI creditor financial account.",BBIE,,ISO639言語コード,AccountName,口座名義,"債権者金融口座の、文字で表現された口座名。
半角カナ（日本の場合）",CI_ Creditor_ Financial Account. Account Name. Text,UN01005400
v1,92,2,Attribute,,CI_ Creditor_ Financial Account,Proprietary_ Identification,Identifier,,0..1,The unique proprietary identifier for this CI creditor financial account.,BBIE, ,,ProprietaryID,口座番号,債権者金融口座の一意の所有者ID。,CI_ Creditor_ Financial Account. Proprietary_ Identification. Identifier,UN01005401
v4,93,2,Attribute,,CI_ Creditor_ Financial Account,Type,Code,,0..1,The code specifying the type of financial account for this CI creditor.,BBIE,預金項目コード,,TypeCode,口座種別コード,債権者金融口座種別のコード。,CI_ Creditor_ Financial Account. Type. Code,UN01012127
v1,94,1,Class,,CI_ Creditor_ Financial Institution,,,,－,"A bank, building society, credit union, stock brokerage, or similar business of the Cross Industry (CI) party that receives money.",ABIE, ,,CICreditorFinancialInstitution,金融機関クラス,金額を受け取る当事者の銀行、住宅金融組合、信用金庫、証券会社、あるいはそれと類似の事業機関。,CI_ Creditor_ Financial Institution. Details,UN01005402
v1,95,2,Attribute,,CI_ Creditor_ Financial Institution,Name,Text,,0..1,"The name, expressed as text, for this CI creditor financial institution.",BBIE,,ISO639言語コード,Name,金融機関名,債権者金融機関の、文字で表現された名前。,CI_ Creditor_ Financial Institution. Name. Text,UN01005426
v1,96,2,Composition,,CI_ Creditor_ Financial Institution,Sub-Division,,Branch_ Financial Institution,0..1,The sub-division (branch) financial institution for this CI creditor financial institution.,ASBIE, ,,Sub-DivisionBranchFinancialInstitution,金融機関／金融機関支店グループ,債権者金融機関の支店金融機関グループ,CI_ Creditor_ Financial Institution. Sub-Division. Branch_ Financial Institution,UN01005428
v1,97,1,Class,,Branch_ Financial Institution,,,,－,"A sub-division of a bank, building society, credit union, stock brokerage, or similar business; established primarily to provide financial services and financial transactions.",ABIE, ,,BranchFinancialInstitution,金融機関支店クラス,銀行、住宅金融組合、信用金庫、証券会社、あるいはそれと類似の事業の部門のクラス。主に金融サービスと金融取引を提供するために設立された機関の支店。,Branch_ Financial Institution. Details,UN01003138
v1,98,2,Attribute,,Branch_ Financial Institution,Name,Text,,0..1,"The name, expressed as text, for this branch of a financial institution.",BBIE,,ISO639言語コード,Name,金融機関支店名,金融機関のこの支店の、文字で表現された名前,Branch_ Financial Institution. Name. Text,UN01003140
v4,99,1,Class,,Trade Settlement_ Financial Card,,,,－,A card used to represent a financial account for a trade settlement.,ABIE, ,,TradeSettlementFinancialCard,金融カードクラス,支払人の金融カードのクラス,Trade Settlement_ Financial Card. Details,UN01004493
v4,100,2,Attribute,PK,Trade Settlement_ Financial Card,Identification,Identifier,,1..1,"The unique identifier, commonly known as the card number, of this trade settlement financial card.",BBIE, ,,ID,金融カード番号,支払人の金融カード番号,Trade Settlement_ Financial Card. Identification. Identifier,UN01004495
v4,101,2,Attribute,,Trade Settlement_ Financial Card,Type,Code,,0..1,"The code specifying the type of this trade settlement financial card, such as debit or credit.",BBIE, ,,TypeCode,金融カードタイプ,金融カードのタイプ,Trade Settlement_ Financial Card. Type. Code,UN01004496
v4,102,2,Attribute,,Trade Settlement_ Financial Card,Cardholder Name,Text,,0..1,The cardholder name as it appears on this trade settlement financial card. This may include both an individual authorized to use the card as well as the organization that owns the card.,BBIE,,ISO639言語コード,CardholderName,金融カード名義人名,支払人の金融カード名義人名,Trade Settlement_ Financial Card. Cardholder Name. Text,UN01004497
v4,103,2,Attribute,,Trade Settlement_ Financial Card,Issuing Company Name,Text,,0..1,"An issuing company name, expressed as text, for this trade settlement financial card.",BBIE,,ISO639言語コード,IssuingCompanyName,金融カード発行企業名,金融カードの発行企業名,Trade Settlement_ Financial Card. Issuing Company Name. Text,UN01009966
v4,104,1,Class,,CI_ Trade_ Tax,,,,－,"A Cross Industry (CI) trade related fiscal tax, duty or levy.",ABIE, ,,CITradeTax,税クラス,税クラス,CI_ Trade_ Tax. Details,UN01005832
v2,105,2,Attribute,,CI_ Trade_ Tax,Calculated,Amount,,0..1,"A monetary value resulting from the calculation of this CI trade related tax, levy or duty.",BBIE,,ISO4217通貨コード,CalculatedAmount,課税分類税額,"課税分類毎に端数処理計算した税額。
算出した税額は切り上げ、切り捨て、四捨五入のいずれかで処理し、税額は整数とする
＜税抜きの場合＞明細文書ヘッダ課税分類課税対象合計金額×税率
＜税込みの場合＞明細文書ヘッダ課税分類課税対象合計金額×税率／(１＋税率)",CI_ Trade_ Tax. Calculated. Amount,UN01005833
v4,106,2,Attribute,,CI_ Trade_ Tax,Category,Code,,1..1,"The code specifying the category to which this CI trade related tax, levy or duty applies, such as codes for ""Exempt from Tax"", ""Standard Rate"", ""Free Export Item - Tax Not Charged"" .",BBIE,UNCL5305,,CategoryCode,課税分類コード,消費税の課税分類コード,CI_ Trade_ Tax. Category. Code,UN01005841
v2,107,2,Attribute,,CI_ Trade_ Tax,Category Name,Text,,0..1,"A category name, expressed as text, of this CI trade related tax, levy or duty.",BBIE,,ISO639言語コード,CategoryName,課税分類名,"消費税の課税分類（標準税率、軽減税率、不課税、非課税、免税等）の名称
または軽減税率表示※など",CI_ Trade_ Tax. Category Name. Text,UN01005850
v4,108,2,Attribute,,CI_ Trade_ Tax,Rate_ Applicable,Percent,,0..1,"The applicable rate of CI trade tax, expressed as a percentage.",BBIE, ,,RateApplicablePercent,表示税率,表示税率（パーセント表示）,CI_ Trade_ Tax. Rate_ Applicable. Percent,UN01007174
v2/v3,109,2,Attribute,,CI_ Trade_ Tax,Calculation Method,Code,,0..1,"The code specifying the method by which this CI trade related tax, levy or duty is calculated, such as codes for ""tax calculated after line total summation"", ""tax calculated before line total summation"", ""tax back calculated based on grand total"".",BBIE,JECxxxx,,CalculationMethodCode,税計算方式,"金額の税込み、税抜きを指定。
デフォルトは「税抜き」",CI_ Trade_ Tax. Calculation Method. Code,UN01013096
v4,110,2,Attribute,,CI_ Trade_ Tax,Local Tax System,Identifier,,0..1,The identifier of the local tax system for this CI trade tax.,BBIE,JECxxxx,,LocalTaxSystemID,適用税制ID,"取引の税制年度を識別するID
デフォルトは「2019」（2019年度税制）",CI_ Trade_ Tax. Local Tax System. Identifier,UN01014650
v4.3,111,2,Attribute,,CI_ Trade_ Tax,Calculated,Rate,,0..1,"The rate used to calculate the amount of this CI trade related tax, levy or duty.",BBIE, ,,CalculatedRate,計算税率,計算税率,CI_ Trade_ Tax. Calculated. Rate,UN01005836
v2,112,2,Attribute,,CI_ Trade_ Tax,Basis,Amount,,0..1,"A monetary value used as the basis on which this CI trade related tax, levy or duty is calculated.",BBIE,,ISO4217通貨コード,BasisAmount,取引金額（税抜き）,"この税抜き取引金額（契約単価×配送数量）
契約単価×数量で指定できない場合は金額",CI_ Trade_ Tax. Basis. Amount,UN01005839
v2,113,2,Attribute,,CI_ Trade_ Tax,Grand Total,Amount,,0..1,The monetary value of the grand total of the basis plus tax for this CI trade tax.,BBIE,,ISO4217通貨コード,GrandTotalAmount,取引金額(税込み),税額を含む取引金額（税込み）,CI_ Trade_ Tax. Grand Total. Amount,UN01013040
v4.3,114,2,Attribute,,CI_ Trade_ Tax,Type,Code,,0..1,"The code specifying the type of CI trade related tax, levy or duty, such as a code for a Value Added Tax (VAT).",BBIE,UNCL5153,,TypeCode,調整税タイプコード,税の種類を識別するコード=IND(源泉所得税 ),CI_ Trade_ Tax. Type. Code,UN01005834
v4,115,1,Class,,CIILB_ Trade_ Tax,,,,－,"A Cross Industry (CI) trade related fiscal tax, duty or levy.",ABIE, ,,CIILBTradeTax,税クラス,税クラス,CIILB_ Trade_ Tax. Details,JP01005832
v4,116,2,Attribute,,CIILB_ Trade_ Tax,Category,Code,,1..1,"The code specifying the category to which this CI trade related tax, levy or duty applies, such as codes for ""Exempt from Tax"", ""Standard Rate"", ""Free Export Item - Tax Not Charged"" .",BBIE,UNCL5305,,CategoryCode,課税分類コード,消費税のの課税分類コード,CIILB_ Trade_ Tax. Category. Code,JP01005841
v2,117,2,Attribute,,CIILB_ Trade_ Tax,Category Name,Text,,0..1,"A category name, expressed as text, of this CI trade related tax, levy or duty.",BBIE,,ISO639言語コード,CategoryName,課税分類名,"消費税の課税分類（標準税率、軽減税率、不課税、非課税、免税等）の名称
または軽減税率表示※など",CIILB_ Trade_ Tax. Category Name. Text,JP01005850
v4,118,2,Attribute,,CIILB_ Trade_ Tax,Rate_ Applicable,Percent,,0..1,"The applicable rate of CI trade tax, expressed as a percentage.",BBIE, ,,RateApplicablePercent,表示税率,表示税率（パーセント表示）,CIILB_ Trade_ Tax. Rate_ Applicable. Percent,JP01007174
v2/v3,119,2,Attribute,,CIILB_ Trade_ Tax,Calculation Method,Code,,0..1,"The code specifying the method by which this CI trade related tax, levy or duty is calculated, such as codes for ""tax calculated after line total summation"", ""tax calculated before line total summation"", ""tax back calculated based on grand total"".",BBIE,JECxxxx,,CalculationMethodCode,税計算方式,"金額の税込み、税抜きを指定。
デフォルトは「税抜き」",CIILB_ Trade_ Tax. Calculation Method. Code,JP01013096
v4,120,2,Attribute,,CIILB_ Trade_ Tax,Local Tax System,Identifier,,0..1,The identifier of the local tax system for this CI trade tax.,BBIE,JECxxxx,,LocalTaxSystemID,適用税制ID,"取引の税制年度を識別するID
デフォルトは「2019」（2019年度税制）",CIILB_ Trade_ Tax. Local Tax System. Identifier,JP01014650
v2,121,2,Attribute,,CIILB_ Trade_ Tax,Basis,Amount,,0..1,"A monetary value used as the basis on which this CI trade related tax, levy or duty is calculated.",BBIE,,ISO4217通貨コード,BasisAmount,取引金額（税抜き）,"この税抜き取引金額（契約単価×配送数量）
契約単価×数量で指定できない場合は金額",CIILB_ Trade_ Tax. Basis. Amount,JP01005839
v2,122,2,Attribute,,CIILB_ Trade_ Tax,Grand Total,Amount,,0..1,The monetary value of the grand total of the basis plus tax for this CI trade tax.,BBIE,,ISO4217通貨コード,GrandTotalAmount,取引金額(税込み),税額を含む取引金額（税込み）,CIILB_ Trade_ Tax. Grand Total. Amount,JP01013040
v4,123,1,Class,,CI_ Specified_ Period,,,,－,An interval of time specified for Cross Industry (CI) purposes.,ABIE, ,,CISpecifiedPeriod,明細行取引期間クラス,明細行の取引期間に関する情報からなるクラス,CI_ Specified_ Period. Details,UN01005608
v4,124,2,Attribute,,CI_ Specified_ Period,Start,Date Time,,0..1,"The date, time, date time or other date time value for the start of this CI specified period of time.",BBIE,日時様式 ISO8601,,StartDateTime,明細行取引開始日,この明細行の取引開始日,CI_ Specified_ Period. Start. Date Time,UN01005612
v4,125,2,Attribute,,CI_ Specified_ Period,End,Date Time,,0..1,"The date, time, date time or other date time value for the end of this CI specified period of time.",BBIE,日時様式 ISO8601,,EndDateTime,明細行取引終了日,この明細行の取引終了日,CI_ Specified_ Period. End. Date Time,UN01005613
v4,126,1,Class,,CI_ Trade_ Payment Terms,,,,－,Conditions by which payment has been or will be made for Cross Industry (CI) trade purposes.,ABIE, ,,CITradePaymentTerms,支払条件クラス, 取引決済の目的で支払が行われる、あるいは行われた条件のクラス,CI_ Trade_ Payment Terms. Details,UN01005779
v4,127,2,Attribute,,CI_ Trade_ Payment Terms,Description,Text,,0..1,A textual description of these CI trade payment terms.,BBIE,,ISO639言語コード,Description,支払条件説明,支払条件の文字による説明,CI_ Trade_ Payment Terms. Description. Text,UN01005783
v4,128,2,Attribute,,CI_ Trade_ Payment Terms,Due Date,Date Time,,0..1,"The date, time, date time, or other date time value of the due date specified by these CI trade payment terms.",BBIE,日時様式 ISO8601,,DueDateDateTime,支払期日,支払条件で示された支払期日,CI_ Trade_ Payment Terms. Due Date. Date Time,UN01005784
v4,129,1,Class,,CIIH_ Trade Settlement_ Monetary Summation,,,,－,A collection of trade settlement monetary totals specified for this Cross Industry Invoice Header (CIIH).,ABIE,     ,,CIIHTradeSettlementMonetarySummation,未決済合計金額クラス,未決済合計金額に関する情報からなるクラス,CIIH_ Trade Settlement_ Monetary Summation. Details,UN01005941
v4,130,2,Attribute,,CIIH_ Trade Settlement_ Monetary Summation,Tax Total,Amount,,0..1,A monetary value of the total of all tax amounts being reported in this CIIH trade settlement monetary summation.,BBIE,,ISO4217通貨コード,TaxTotalAmount,鑑ヘッダ消費税総合計額,明細文書ヘッダ税クラスで算出した税率別消費税額の合計額,CIIH_ Trade Settlement_ Monetary Summation. Tax Total. Amount,UN01005946
v4,131,2,Attribute,,CIIH_ Trade Settlement_ Monetary Summation,Grand Total,Amount,,0..1,"A monetary value of the grand total of this CIIH trade settlement monetary summation, including taxes and allowances and charges.",BBIE,,ISO4217通貨コード,GrandTotalAmount,前回インボイス総合計金額（税込み）,前回インボイス文書の総合計金額（税込み）,CIIH_ Trade Settlement_ Monetary Summation. Grand Total. Amount,UN01005948
v4.3,132,2,Attribute,,CIIH_ Trade Settlement_ Monetary Summation,Total Allowance Charge,Amount,,0..1,A monetary value of the total of allowance and charge amounts reported on header level in this CIIH trade settlement monetary summation.,BBIE,,ISO4217通貨コード,TotalAllowanceChargeAmount,鑑ヘッダ返金・追加請求合計金額（税抜き）,Σ明細文書ヘッダ返金・追加請求合計金額（税抜き）,CIIH_ Trade Settlement_ Monetary Summation. Total Allowance Charge. Amount,UN01005952
v4,133,2,Attribute,,CIIH_ Trade Settlement_ Monetary Summation,Due Payable,Amount,,0..1,"A monetary value that is an amount due and payable for this CIIH trade settlement monetary summation, such as the amount due to the creditor.",BBIE,,ISO4217通貨コード,DuePayableAmount,未決済合計金額,"未決済合計金額＝
前回インボイス総合計金額（税込み）ー入金済金額(前回インボイス分)",CIIH_ Trade Settlement_ Monetary Summation. Due Payable. Amount,UN01008445
v4,134,2,Attribute,,CIIH_ Trade Settlement_ Monetary Summation,Net_ Line Total,Amount,,0..1,"A monetary value of the total of all line amounts, including line level allowances and charges and excluding line level taxes, being reported in this CIIH trade settlement monetary summation.",BBIE,,ISO4217通貨コード,NetLineTotalAmount,鑑ヘッダ譲渡資産合計金額(税抜き),∑明細文書ヘッダ譲渡資産合計金額(税抜き),CIIH_ Trade Settlement_ Monetary Summation. Net_ Line Total. Amount,UN01008451
v4,135,2,Attribute,,CIIH_ Trade Settlement_ Monetary Summation,Including Taxes_ Line Total,Amount,,0..1,"A monetary value of the line total, including taxes, being reported in this CIIH trade settlement monetary summation.",BBIE,,ISO4217通貨コード,IncludingTaxesLineTotalAmount,鑑ヘッダ譲渡資産合計金額(税込み),∑明細文書ヘッダ譲渡資産合計金額（税込み）,CIIH_ Trade Settlement_ Monetary Summation. Including Taxes_ Line Total. Amount,UN01013091
v4,136,2,Attribute,,CIIH_ Trade Settlement_ Monetary Summation,Total Prepaid,Amount,,0..1,A monetary value of a prepaid total reported in this CIIH trade settlement monetary summation.,BBIE,,ISO4217通貨コード,TotalPrepaidAmount,入金済金額（前回インボイス分）,前回インボイス文書総合計金額のうち、入金済合計金額,CIIH_ Trade Settlement_ Monetary Summation. Total Prepaid. Amount,UN01005950
v4.3,137,1,Class,,CI_ Financial_ Adjustment,,,,－,A correction or modification to reflect actual Cross Industry (CI) financial conditions.,ABIE, ,,CIFinancialAdjustment,鑑ヘッダ調整クラス,鑑ヘッダの調整に関する情報からなるクラス,CI_ Financial_ Adjustment. Details,UN01005487
v4.3,138,2,Attribute,,CI_ Financial_ Adjustment,Reason,Code,,0..1,The code specifying a reason for this CI financial adjustment.,BBIE,UNCL4465,,ReasonCode,鑑ヘッダ調整理由コード,この鑑ヘッダの調整理由を示す識別コード=30の場合（入金）,CI_ Financial_ Adjustment. Reason. Code,UN01005488
v4.3,139,2,Attribute,,CI_ Financial_ Adjustment,Reason,Text,,0..1,"A reason, expressed as text, for this CI financial adjustment.",BBIE,,ISO639言語コード,Reason,鑑ヘッダ調整理由,この鑑ヘッダの調整理由を文字で表現した内容,CI_ Financial_ Adjustment. Reason. Text,UN01005489
v4.3,140,2,Attribute,,CI_ Financial_ Adjustment,Actual,Amount,,0..1,An actual monetary value added or subtracted as a result of this CI financial adjustment.,BBIE,,ISO4217通貨コード,ActualAmount,鑑ヘッダ調整金額,"この鑑ヘッダの調整金額
＜鑑ヘッダ調整理由コード＝30の場合＞
'=入金",CI_ Financial_ Adjustment. Actual. Amount,UN01005490
v4,141,2,Attribute,,CI_ Financial_ Adjustment,Direction,Code,,0..1,The code specifying whether the CI financial adjustment is an addition or a subtraction.,BBIE,JECxxxx,,DirectionCode,鑑ヘッダ調整取引方向コード,"鑑ヘッダ調整額の＋ーを識別するコード
マイナス金額を許容しない場合は必須",CI_ Financial_ Adjustment. Direction. Code,UN01014649
v4,142,2,Composition,,CI_ Financial_ Adjustment,Related,,CI_ Trade_ Tax,0..n,A trade tax related to this CI financial adjustment.,ASBIE, ,,RelatedCITradeTax,鑑ヘッダ調整／調整税グループ,鑑ヘッダ調整の税率別税クラスに関するグループ,CI_ Financial_ Adjustment. Related. CI_ Trade_ Tax,UN01014897
v4.3,143,1,Class,,CIILB_ Financial_ Adjustment,,,,－,A correction or modification to reflect actual Cross Industry (CI) financial conditions.,ABIE, ,,CIILBFinancialAdjustment,明細行調整クラス,明細行の調整に関する情報からなるクラス,CIILB_ Financial_ Adjustment. Details,JP01005487
v4.3,144,2,Attribute,,CIILB_ Financial_ Adjustment,Reason,Code,,0..1,The code specifying a reason for this CI financial adjustment.,BBIE,UNCL4465,,ReasonCode,明細行調整理由コード,この明細行の調整理由を示す識別コード=30の場合（入金）,CIILB_ Financial_ Adjustment. Reason. Code,JP01005488
v4.3,145,2,Attribute,,CIILB_ Financial_ Adjustment,Reason,Text,,0..1,"A reason, expressed as text, for this CI financial adjustment.",BBIE,,ISO639言語コード,Reason,明細行調整理由,この明細行の調整理由を文字で表現した内容,CIILB_ Financial_ Adjustment. Reason. Text,JP01005489
v4.3,146,2,Attribute,,CIILB_ Financial_ Adjustment,Actual,Amount,,0..1,An actual monetary value added or subtracted as a result of this CI financial adjustment.,BBIE,,ISO4217通貨コード,ActualAmount,明細行調整金額,"この明細行の調整金額
＜明細行調整理由コード＝30の場合＞
'=入金",CIILB_ Financial_ Adjustment. Actual. Amount,JP01005490
v4,147,2,Attribute,,CIILB_ Financial_ Adjustment,Direction,Code,,0..1,The code specifying whether the CI financial adjustment is an addition or a subtraction.,BBIE,JECxxxx,,DirectionCode,明細行調整取引方向コード,"明細行調整額の＋ーを識別するコード
マイナス金額を許容しない場合は必須",CIILB_ Financial_ Adjustment. Direction. Code,JP01014649
v4,148,2,Composition,,CIILB_ Financial_ Adjustment,Related,,CIILB_ Trade_ Tax,0..n,A trade tax related to this CI financial adjustment.,ASBIE, ,,RelatedCITradeTax,明細行調整／調整税グループ,明細行調整の税率別税クラスに関するグループ,CIILB_ Financial_ Adjustment. Related. CIILB_ Trade_ Tax,JP01014897
v4,149,1,Class,,CIIL_ Supply Chain_ Trade Line Item,,,,－,A collection of Cross Industry Invoice Line (CIIL) information specific to an item being used or reported on for supply chain trade purposes.,ABIE, ,,CIILSupplyChainTradeLineItem,明細文書ヘッダクラス,インボイス文書へ組み込まれる明細文書ヘッダのアイテムのクラス,CIIL_ Supply Chain_ Trade Line Item. Details,UN01005988
v4,150,2,Composition,,CIIL_ Supply Chain_ Trade Line Item,Associated,,CIIL_ Document Line_ Document,1..1,The document line associated with this CIIL supply chain trade line item.,ASBIE, ,,AssociatedCIILDocumentLineDocument,明細文書ヘッダ／明細文書グループ,明細文書ヘッダの明細文書グループ。,CIIL_ Supply Chain_ Trade Line Item. Associated. CIIL_ Document Line_ Document,UN01005989
v4,151,2,Composition,,CIIL_ Supply Chain_ Trade Line Item,Specified,,CIIL_ Supply Chain_ Trade Settlement,0..1,The CIIL supply chain trade settlement specified for this CIIL supply chain trade line item.,ASBIE, ,,SpecifiedCIILSupplyChainTradeSettlement,明細文書ヘッダ／決済グループ,明細文書の決済に関するグループ。,CIIL_ Supply Chain_ Trade Line Item. Specified. CIIL_ Supply Chain_ Trade Settlement,UN01005992
v1,152,2,Composition,,CIIL_ Supply Chain_ Trade Line Item,Subordinate,,CIILB_ Subordinate_ Trade Line Item,1..n,A CIILB trade line item subordinate to this supply chain trade line item.,ASBIE, ,,SubordinateCIILBSubordinateTradeLineItem,明細文書ヘッダ／明細行グループ,明細文書ヘッダの明細行に関するグループ。,CIIL_ Supply Chain_ Trade Line Item. Subordinate. CIILB_ Subordinate_ Trade Line Item,UN01009669
v4,153,1,Class,,CIIL_ Document Line_ Document,,,,－,A document line for this Cross Industry Invoice Line (CIIL).,ABIE, ,,CIILDocumentLineDocument,明細文書クラス,明細文書のクラス,CIIL_ Document Line_ Document. Details,UN01005953
v4,154,2,Attribute,PK,CIIL_ Document Line_ Document,Line,Identifier,,1..1,The unique identifier of the line of this CIIL document line.,BBIE, ,,LineID,明細文書ID,明細文書を識別するID。デフォルト=1。プロバイダがセットする,CIIL_ Document Line_ Document. Line. Identifier,UN01005954
v4,155,2,Attribute,,CIIL_ Document Line_ Document,Category,Code,,0..1,The code specifying the category of this CIIL document line.,BBIE,JECxxxx,,CategoryCode,明細文書類型コード,この明細文書の取引類型（資産譲渡、補完、返金・追加請求等）を識別するコード。,CIIL_ Document Line_ Document. Category. Code,UN01014645
v4,156,2,Composition,,CIIL_ Document Line_ Document,Included,,CI_ Note,0..n,A Cross Industry (CI) note included in this CIIL document line.,ASBIE, ,,IncludedCINote,明細文書／注釈グループ,明細文書に関する注釈のグループ,CIIL_ Document Line_ Document. Included. CI_ Note,UN01005957
v4/v4.3,157,2,Composition,,CIIL_ Document Line_ Document,Reference,,CI_ Referenced_ Document,0..1,A document referenced from this CIIL document line.,ASBIE, ,,ReferenceCIReferencedDocument,明細文書／属性参照文書グループ,この明細文書の属性参照文書に関するグループ。,CIIL_ Document Line_ Document. Reference. CI_ Referenced_ Document,UN01014895
v4,158,1,Class,,CIIL_ Supply Chain_ Trade Settlement,,,,－,The Cross Industry Invoice Line (CIIL) information that enables the financial reconciliation of a supply chain transaction with the item(s) that the financial transaction is intended to settle.,ABIE, ,,CIILSupplyChainTradeSettlement,明細文書ヘッダ決済クラス,,CIIL_ Supply Chain_ Trade Settlement. Details,UN01005994
v4,159,2,Attribute,,CIIL_ Supply Chain_ Trade Settlement,Direction,Code,,0..1,The code specifying whether this CIIL supply chain trade settlement is an addition or a subtraction.,BBIE,JECxxxx,,DirectionCode,明細文書ヘッダ取引方向コード,明細文書ヘッダの取引方向を識別するコード,CIIL_ Supply Chain_ Trade Settlement. Direction. Code,UN01014647
v4,160,2,Composition,,CIIL_ Supply Chain_ Trade Settlement,Specified,,CI_ Trade_ Allowance Charge,0..n,A Cross Industry (CI) allowance or charge specified for this CIIL supply chain trade settlement.,ASBIE, ,,SpecifiedCITradeAllowanceCharge,明細文書ヘッダ決済／明細文書ヘッダ返金・追加請求グループ,明細文書ヘッダの返金・追加請求グループ,CIIL_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Allowance Charge,UN01005998
v1,161,2,Composition,,CIIL_ Supply Chain_ Trade Settlement,Applicable,,CI_ Trade_ Tax,1..n,A Cross Industry (CI) tax applicable to this CIIL supply chain trade settlement.,ASBIE, ,,ApplicableCITradeTax,明細文書ヘッダ決済／明細文書ヘッダ税グループ,明細文書ヘッダの税に関するグループ。,CIIL_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax,UN01005996
v1,162,2,Composition,,CIIL_ Supply Chain_ Trade Settlement,Specified,,CIIL_ Trade Settlement_ Monetary Summation,0..1,The CIIL trade settlement monetary summation specified for this CIIL supply chain trade settlement.,ASBIE, ,,SpecifiedCIILTradeSettlementMonetarySummation,明細文書ヘッダ決済／合計金額グループ,明細文書ヘッダの合計金額に関するグループ,CIIL_ Supply Chain_ Trade Settlement. Specified. CIIL_ Trade Settlement_ Monetary Summation,UN01006002
v4.1,163,2,Composition,,CIIL_ Supply Chain_ Trade Settlement,Additional_ Referenced,,CI_ Referenced_ Document,0..n,An additional Cross Industry (CI) document referenced from this CIIL supply chain trade settlement.,ASBIE,  ,,AdditionalReferencedCIReferencedDocument,明細文書ヘッダ決済／参照文書グループ,明細文書ヘッダ決済の参照文書に関するグループ,CIIL_ Supply Chain_ Trade Settlement. Additional_ Referenced. CI_ Referenced_ Document,UN01006005
v4.1,164,2,Composition,,CIIL_ Supply Chain_ Trade Settlement,Receivable_ Specified,,CI_ Trade_ Accounting Account,0..1,A receivable Cross Industry (CI) accounting account specified for this CIIL supply chain trade settlement.,ASBIE,  ,,ReceivableSpecifiedCITradeAccountingAccount,明細文書ヘッダ決済／会計アカウントグループ,この明細文書ヘッダの会計アカウントに関するグループ,CIIL_ Supply Chain_ Trade Settlement. Receivable_ Specified. CI_ Trade_ Accounting Account,UN01006079
v4.1,165,1,Class,,CI_ Trade_ Allowance Charge,,,,－,"A component of pricing, such as a service, promotion, allowance or charge, for Cross Industry (CI) trade purposes.",ABIE,,,CITradeAllowanceCharge,返金・追加請求クラス,返金・追加請求クラス,CI_ Trade_ Allowance Charge. Details,UN01005706
v4.1,166,2,Attribute,,CI_ Trade_ Allowance Charge,Charge,Indicator,,1..1,The indication of whether or not this CI trade allowance charge is a charge.,BBIE,JECxxxx,,ChargeIndicator,返金・追加請求判別子,"返金・追加請求判別子
True (Charge) / False(Allowance)",CI_ Trade_ Allowance Charge. Charge. Indicator,UN01005707
v4.1,167,2,Attribute,,CI_ Trade_ Allowance Charge,Actual,Amount,,0..1,An actual monetary value of this CI trade allowance charge.,BBIE,,ISO4217通貨コード,ActualAmount,返金・追加請求金額,に紐付く返金・追加請求金額。,CI_ Trade_ Allowance Charge. Actual. Amount,UN01005713
v4.1,168,2,Attribute,,CI_ Trade_ Allowance Charge,Reason,Code,,0..1,The code specifying the reason for this CI trade allowance charge.,BBIE,UNCL5189,,ReasonCode,返金・追加請求理由コード,返金・追加請求理由を識別するコード,CI_ Trade_ Allowance Charge. Reason. Code,UN01005714
v4.1,169,2,Attribute,,CI_ Trade_ Allowance Charge,Reason,Text,,0..1,"The reason, expressed as text, for this CI trade allowance charge.",BBIE,,ISO639言語コード,Reason,返金・追加請求理由,返金・追加請求理由（内容）の説明,CI_ Trade_ Allowance Charge. Reason. Text,UN01005715
v4,170,2,Composition,,CI_ Trade_ Allowance Charge,Category,,CI_ Trade_ Tax,0..n,A tax category of this CI trade allowance charge.,ASBIE, ,,CategoryCITradeTax,返金・追加請求税グループ,返金・追加請求の税に関するグループ,CI_ Trade_ Allowance Charge. Category. CI_ Trade_ Tax,UN01005716
v4.1,171,1,Class,,CIILB_ Trade_ Allowance Charge,,,,－,"A component of pricing, such as a service, promotion, allowance or charge, for Cross Industry (CI) trade purposes.",ABIE,,,CIILBTradeAllowanceCharge,明細行返金・追加請求クラス,明細行の返金・追加請求クラス,CIILB_ Trade_ Allowance Charge. Details,JP01005706
