version,sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,acronym,code_list,attribute,element,label_local,definition_local,DEN,UNID
v1/v3,23,2,Attribute,,CIIH_ Exchanged_ Document,Issue,Date Time,,1..1,"The date, time, date time or other date time value for the issuance of this CIIH exchanged document.",BBIE,日時様式 ISO8601,,IssueDateTime,インボイス文書発効日,インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。,CIIH_ Exchanged_ Document. Issue. Date Time,UN01005865
v2,24,2,Attribute,,CIIH_ Exchanged_ Document,Purpose,Code,,0..1,"The code specifying the purpose of this CIIH exchanged document, such as request or reminder.",BBIE,UNCL1225,,PurposeCode,インボイス文書目的コード,請求者が請求書の目的（新規、変更、取消、打切り）を管理するために付番したコード,CIIH_ Exchanged_ Document. Purpose. Code,UN01005869
v4,25,2,Attribute,,CIIH_ Exchanged_ Document,Previous Revision_ Identification,Identifier,,0..1,The unique identifier of the previous revision of this CIIH exchanged document.,BBIE,  ,,PreviousRevisionID,インボイス文書履歴ID,インボイス文書の変更履歴を管理するID,CIIH_ Exchanged_ Document. Previous Revision_ Identification. Identifier,UN01005874
v4,26,2,Attribute,,CIIH_ Exchanged_ Document,Subtype,Code,,0..1,The code specifying the subtype of this CIIH exchanged document.,BBIE,JECxxxx,,SubtypeCode,インボイス文書サブタイプコード,"地域固有の文書のタイプを識別するコード
デフォルトは「統合請求書」",CIIH_ Exchanged_ Document. Subtype. Code,UN01014636
v1,27,2,Composition,,CIIH_ Exchanged_ Document,Included,,CI_ Note,0..n,A note included in this CIIH exchanged document.,ASBIE,  ,,IncludedCINote,インボイス文書／注釈グループ,インボイス文書に含まれる注釈。,CIIH_ Exchanged_ Document. Included. CI_ Note,UN01005876
v4,28,2,Composition,,CIIH_ Exchanged_ Document,Reference,,CI_ Referenced_ Document,0..n,Other documents referenced by this CIIH exchanged document.,ASBIE,  ,,ReferenceCIReferencedDocument,インボイス文書／参照文書グループ,インボイス文書が参照する文書のグループ,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document,UN01012702
v4.1,29,1,Class,,CI_ Note,,,, -,"A textual or coded Cross Industry (CI) description, such as a remark or additional information.",ABIE, ,,CINote,明細行注釈クラス,明細行の注釈を記述するクラス,CI_ Note. Details,UN01005557
v4.1,30,2,Attribute,,CI_ Note,Content,Text,,0..1,"Content, expressed as text, of this CI note.",BBIE,,ISO639言語コード,Content,明細行注釈内容,"明細行の注釈表題毎の内容情報を入力するフリースペース。
一部に利用制限あり。標準仕様書３．３．５項参照",CI_ Note. Content. Text,UN01005560
v4,31,1,Class,,CI_ Referenced_ Document,,,,－,"Written, printed or electronic matter that is referenced for Cross Industry (CI) purposes.",ABIE, ,,CIReferencedDocument,（文書参照）文書クラス,この文書の参照文書クラス,CI_ Referenced_ Document. Details,UN01005579
v4,32,2,Attribute,PK,CI_ Referenced_ Document,Issuer Assigned_ Identification,Identifier,,1..1,The issuer assigned identifier for this CI referenced document.,BBIE, ,,IssuerAssignedID,（文書参照）文書ID,この文書が参照する文書に記載の文書ID。,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,UN01005580
v4.3,33,2,Attribute,,CI_ Referenced_ Document,URI_ Identification,Identifier,,0..1,The unique Uniform Resource Identifier (URI) for this CI referenced document.,BBIE, ,,URIID,（文書参照）文書URL_ID,この文書が参照する文書が所在するURL_ID,CI_ Referenced_ Document. URI_ Identification. Identifier,UN01005581
v4.3,34,2,Attribute,,CI_ Referenced_ Document,Issue,Date Time,,0..1,The date or date time for the issuance of this CI referenced document.,BBIE,日時様式 ISO8601,,IssueDateTime,（文書参照）文書発行日,この文書が参照する文書に記載の発行日付,CI_ Referenced_ Document. Issue. Date Time,UN01005582
v4,35,2,Attribute,,CI_ Referenced_ Document,Type,Code,,0..1,The code specifying the type of CI referenced document.,BBIE,JECxxxx,,TypeCode,（文書参照）文書類型コード,この文書が参照する文書の類型タイプを識別するコード。,CI_ Referenced_ Document. Type. Code,UN01009672
v4,36,2,Attribute,,CI_ Referenced_ Document,Subtype,Code,,0..1,A code specifying a subtype of this CI referenced document.,BBIE,JECxxxx,,SubtypeCode,（文書参照）文書サブタイプコード,この文書が参照する文書の文書サブタイプを識別するコード。,CI_ Referenced_ Document. Subtype. Code,UN01014899
v4,37,2,Attribute,,CI_ Referenced_ Document,Revision_ Identification,Identifier,,0..1,The unique identifier for a revision of this CI referenced document.,BBIE,  ,,RevisionID,（文書参照）文書履歴ID,この文書が参照する文書の変更履歴を管理するID。,CI_ Referenced_ Document. Revision_ Identification. Identifier,UN01005588
v4.3,38,2,Attribute,,CI_ Referenced_ Document,Information,Text,,0..n,"Information, expressed as text, for this CI referenced document.",BBIE,,ISO639言語コード,Information,（文書参照）文書情報,この文書が参照する文書に記載の情報,CI_ Referenced_ Document. Information. Text,UN01006415
v4.3,39,2,Attribute,,CI_ Referenced_ Document,Name,Text,,0..1,"A name, expressed as text, for this CI referenced document.",BBIE,,ISO639言語コード,Name,（文書参照）文書名,この文書が参照する文書の名称,CI_ Referenced_ Document. Name. Text,UN01005589
v4,40,1,Class,,CIILB_ Referenced_ Document,,,,－,"Written, printed or electronic matter that is referenced for Cross Industry (CI) purposes.",ABIE, ,,CIILBReferencedDocument,（明細行参照）文書クラス,明細行の参照文書クラス,CIILB_ Referenced_ Document. Details,JP01005579
