version,sequence,level,type,identifier,UNID,acronym,label_local,multiplicity,class,property_term,representation_term,associated_class,definition_local,code_list,DEN,definition,short_name,element,xpath
v4,162,4,A,PK,UN01005954,BBIE,明細文書ID,1..1,CIIL_ Document Line_ Document,Line,Identifier,,明細文書を識別するID。デフォルト=1。プロバイダがセットする, ,CIIL_ Document Line_ Document. Line. Identifier,,,LineID,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/AssociatedCIILDocumentLineDocument/DuePayableAmount
v4,163,4,A,,UN01014645,BBIE,明細文書類型コード,0..1,CIIL_ Document Line_ Document,Category,Code,,この明細文書の取引類型（資産譲渡、補完、返金・追加請求等）を識別するコード。,JECxxxx,CIIL_ Document Line_ Document. Category. Code,,,CategoryCode,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/AssociatedCIILDocumentLineDocument/LineID
v4,164,4,C,,UN01005957,ASBIE,明細文書／注釈グループ,0..n,CIIL_ Document Line_ Document,Included,,CI_ Note,明細文書に関する注釈のグループ, ,CIIL_ Document Line_ Document. Included. CI_ Note,,,IncludedCINote,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/AssociatedCIILDocumentLineDocument/CategoryCode
v4,166,5,A,,UN01005560,BBIE,明細文書注釈内容,0..1,CI_ Note,Content,Text,,"明細文書の注釈表題毎の内容情報を入力するフリースペース。
一部に利用制限あり。標準仕様書３．３．５項参照","言語コード
ISO639",CI_ Note. Content. Text,,,Content,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/AssociatedCIILDocumentLineDocument/IncludedCINote/CategoryCode
v4/v4.3,167,4,C,,UN01014895,ASBIE,明細文書／属性参照文書グループ,0..1,CIIL_ Document Line_ Document,Reference,,CI_ Referenced_ Document,この明細文書の属性参照文書に関するグループ。, ,CIIL_ Document Line_ Document. Reference. CI_ Referenced_ Document,,,ReferenceCIReferencedDocument,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/AssociatedCIILDocumentLineDocument/IncludedCINote
v4/v4.3,169,5,A,PK,UN01005580,BBIE,明細文書属性参照文書ID,1..1,CI_ Referenced_ Document,Issuer Assigned_ Identification,Identifier,,この明細文書の属性を参照する文書の文書ID, ,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,IssuerAssignedID,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/AssociatedCIILDocumentLineDocument/ReferenceCIReferencedDocument/Content
v4/v4.3,170,5,A,,UN01005582,BBIE,明細文書属性参照文書発行日,0..1,CI_ Referenced_ Document,Issue,Date Time,,この明細文書の属性を参照する文書の発行日,日時様式 ISO8601,CI_ Referenced_ Document. Issue. Date Time,,,IssueDateTime,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/AssociatedCIILDocumentLineDocument/ReferenceCIReferencedDocument/IssuerAssignedID
v4/v4.3,171,5,A,,UN01005588,BBIE,明細文書属性参照文書履歴ID,0..1,CI_ Referenced_ Document,Revision_ Identification,Identifier,,この明細文書の属性を参照する文書の変更履歴を管理するID。,  ,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,RevisionID,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/AssociatedCIILDocumentLineDocument/ReferenceCIReferencedDocument/IssueDateTime
v4/v4.3,172,5,A,,UN01009672,BBIE,明細文書属性参照文書タイプコード,0..1,CI_ Referenced_ Document,Type,Code,,この明細文書の属性を参照する文書の文書タイプを識別するコード,UNCL1001,CI_ Referenced_ Document. Type. Code,,,TypeCode,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/AssociatedCIILDocumentLineDocument/ReferenceCIReferencedDocument/RevisionID
v4/v4.3,173,5,A,,UN01014899,BBIE,明細文書属性参照文書サブタイプコード,0..1,CI_ Referenced_ Document,Subtype,Code,,この明細文書の属性を参照する文書の文書サブタイプを識別するコード,JECxxxx,CI_ Referenced_ Document. Subtype. Code,,,SubtypeCode,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/AssociatedCIILDocumentLineDocument/ReferenceCIReferencedDocument/TypeCode
