version,sequence,level,type,identifier,UNID,acronym,label_local,multiplicity,class_term,property_term,representation_term,associated_class,definition_local,code_list,attribute,DEN,definition,short_name,name,element,xpath
v1,27,4,A,,UN01005476,BBIE,バージョンID,0..1,CI_ Document_ Version,Identification,Identifier,,ドメインのバージョン識別番号,,,CI_ Document_ Version. Identification. Identifier,The unique identifier for this CI document version.,ID,SubsetContextParameterDocumentVersionID,ID,/SMECoreSelfInvoice/ExchangedDocumentContext/SubsetDocumentContextParameter/DocumentVersion/ID
v1,28,4,A,,UN01005478,BBIE,バージョン発行日,0..1,CI_ Document_ Version,Issue,Date Time,,ドメインのバージョン発行日,,,CI_ Document_ Version. Issue. Date Time,"The date, time, date time or other date time value of issue of this CI document version.",Issue Date Time,SubsetContextParameterDocumentVersionIssueDateTime,IssueDateTime,/SMECoreSelfInvoice/ExchangedDocumentContext/SubsetDocumentContextParameter/DocumentVersion/IssueDateTime
v1,29,1,C,,UN01005861,ASMA,インボイス文書クラス,1..1,CIIH_ Exchanged_ Document,,,,インボイス文書に関する情報項目のクラス,,,CIIH_ Exchanged_ Document. Details,"A collection of data for a Cross Industry Invoice Header (CIIH) that is exchanged between two or more parties in written, printed or electronic form.",CIIH Exchanged Document,SMECoreSelfInvoiceExchangedDocument,ExchangedDocument,/SMECoreSelfInvoice/ExchangedDocument
v1/v3,30,2,A,PK,UN01005862,BBIE,インボイス文書ID,1..1,CIIH_ Exchanged_ Document,Identification,Identifier,,インボイス文書を識別する文書ID,,,CIIH_ Exchanged_ Document. Identification. Identifier,The unique identifier of this CIIH exchanged document.,ID,ExchangedDocumentID,ID,/SMECoreSelfInvoice/ExchangedDocument/ID
v1,31,2,A,,UN01005863,BBIE,インボイス文書名,0..1,CIIH_ Exchanged_ Document,Name,Text,,インボイス文書の文書名称,,,CIIH_ Exchanged_ Document. Name. Text,"A name, expressed as text, of this CIIH exchanged document.",Name,ExchangedDocumentName,Name,/SMECoreSelfInvoice/ExchangedDocument/Name
v1,32,2,A,,UN01005864,BBIE,インボイス文書タイプコード,0..1,CIIH_ Exchanged_ Document,Type,Code,,"インボイス文書のタイプを識別するコード
デフォルトは「合算請求書パターン１」",UNCL1001,,CIIH_ Exchanged_ Document. Type. Code,The code specifying the type of CIIH exchanged document.,Type Code,ExchangedDocumentTypeCode,TypeCode,/SMECoreSelfInvoice/ExchangedDocument/TypeCode
v1/v3,33,2,A,,UN01005865,BBIE,インボイス文書発効日,1..1,CIIH_ Exchanged_ Document,Issue,Date Time,,インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。,,,CIIH_ Exchanged_ Document. Issue. Date Time,"The date, time, date time or other date time value for the issuance of this CIIH exchanged document.",Issue Date Time,ExchangedDocumentIssueDateTime,IssueDateTime,/SMECoreSelfInvoice/ExchangedDocument/IssueDateTime
v4.3,34,2,A,,UN01005868,BBIE,インボイス文書言語識別子,0..1,CIIH_ Exchanged_ Document,Language,Identifier,,インボイス文書が使用する言語の識別子,,"言語コード
ISO639",CIIH_ Exchanged_ Document. Language. Identifier,A unique identifier for a language used in this CIIH exchanged document.,Language Code,ExchangedDocumentLanguageID,LanguageID,/SMECoreSelfInvoice/ExchangedDocument/LanguageID
v2,35,2,A,,UN01005869,BBIE,インボイス文書目的コード,0..1,CIIH_ Exchanged_ Document,Purpose,Code,,インボイス文書の発行者がインボイス文書の目的（新規、変更、取消、打切り）を管理するために付番したコード,UNCL1225,,CIIH_ Exchanged_ Document. Purpose. Code,"The code specifying the purpose of this CIIH exchanged document, such as request or reminder.",Purpose Code,ExchangedDocumentPurposeCode,PurposeCode,/SMECoreSelfInvoice/ExchangedDocument/PurposeCode
v4,36,2,A,,UN01005874,BBIE,インボイス文書履歴ID,0..1,CIIH_ Exchanged_ Document,Previous Revision_ Identification,Identifier,,インボイス文書の変更履歴を管理するID。文書変更時に文書IDを変更しない運用を行う場合に利用する（電帳法対応）,,,CIIH_ Exchanged_ Document. Previous Revision_ Identification. Identifier,The unique identifier of the previous revision of this CIIH exchanged document.,Previous Revision ID,ExchangedDocumentPreviousRevisionID,PreviousRevisionID,/SMECoreSelfInvoice/ExchangedDocument/PreviousRevisionID
v4,37,2,A,,UN01005875,BBIE,インボイス文書類型コード,0..1,CIIH_ Exchanged_ Document,Category,Code,,"インボイス文書の類型（日本円取引、外貨建て取引等）を識別するコード
デフォルトは「日本円取引」",JECxxxx,,CIIH_ Exchanged_ Document. Category. Code,The code specifying the category for this CIIH exchanged document.,Category Code,ExchangedDocumentCategoryCode,CategoryCode,/SMECoreSelfInvoice/ExchangedDocument/CategoryCode
v4,38,2,A,,UN01014636,BBIE,インボイス文書サブタイプコード,0..1,CIIH_ Exchanged_ Document,Subtype,Code,,"地域固有の文書のタイプを識別するコード
デフォルトは「統合請求書」",JECxxxx,,CIIH_ Exchanged_ Document. Subtype. Code,The code specifying the subtype of this CIIH exchanged document.,Subtype Code,ExchangedDocumentSubtypeCode,SubtypeCode,/SMECoreSelfInvoice/ExchangedDocument/SubtypeCode
v1,39,2,C,,UN01005876,ASBIE,インボイス文書／注釈グループ,0..n,CIIH_ Exchanged_ Document,Included,,CI_ Note,インボイス文書に含まれる注釈。,,,CIIH_ Exchanged_ Document. Included. CI_ Note,A note included in this CIIH exchanged document.,Note,ExchangedDocumentNote,Note,/SMECoreSelfInvoice/ExchangedDocument/Note
v1,41,3,A,,UN01005558,BBIE,インボイス文書注釈表題,0..1,CI_ Note,Subject,Text,,注釈内容の表題を示す。,,,CI_ Note. Subject. Text,"The subject, expressed as text, of this CI note.",Subject Text,ExchangedDocumentNoteSubjectText,Subject,/SMECoreSelfInvoice/ExchangedDocument/Note/Subject
v1,42,3,A,,UN01005560,BBIE,インボイス文書注釈内容,0..1,CI_ Note,Content,Text,,注釈項目毎の内容情報を入力するフリースペース。,,,CI_ Note. Content. Text,"Content, expressed as text, of this CI note.",Content Text,ExchangedDocumentNoteContentText,Content,/SMECoreSelfInvoice/ExchangedDocument/Note/Content
v1,43,3,A,,UN01005562,BBIE,インボイス文書注釈ID,0..1,CI_ Note,Identification,Identifier,,注釈の識別ID,,,CI_ Note. Identification. Identifier,The unique identifier for this CI note.,ID,ExchangedDocumentNoteID,ID,/SMECoreSelfInvoice/ExchangedDocument/Note/ID
v4,44,2,C,,UN01012702,ASBIE,インボイス文書／参照文書グループ,0..n,CIIH_ Exchanged_ Document,Reference,,CI_ Referenced_ Document,インボイス文書が参照する文書のグループ,,,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document,Other documents referenced by this CIIH exchanged document.,Other Referenced Documents,ExchangedDocumentReferenceReferencedDocument,ReferenceReferencedDocument,/SMECoreSelfInvoice/ExchangedDocument/ReferenceReferencedDocument
v4,46,3,A,PK,UN01005580,BBIE,（鑑ヘッダ参照）文書ID,1..1,CI_ Referenced_ Document,Issuer Assigned_ Identification,Identifier,,インボイス文書が参照する参照文書のID,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,The issuer assigned identifier for this CI referenced document.,Issuer Assigned ID,ExchangedReferenceReferencedDocumentIssuerAssignedID,IssuerAssignedID,/SMECoreSelfInvoice/ExchangedDocument/ReferenceReferencedDocument/IssuerAssignedID
v4.2,47,3,A,,UN01005581,BBIE,（鑑ヘッダ参照）文書URL_ID,0..1,CI_ Referenced_ Document,URI_ Identification,Identifier,,インボイス文書が参照する文書が所在するURL_ID,,,CI_ Referenced_ Document. URI_ Identification. Identifier,The unique Uniform Resource Identifier (URI) for this CI referenced document.,URI,ExchangedReferenceReferencedDocumentURIID,URIID,/SMECoreSelfInvoice/ExchangedDocument/ReferenceReferencedDocument/URIID
v4,48,3,A,,UN01005582,BBIE,（鑑ヘッダ参照）文書発行日,0..1,CI_ Referenced_ Document,Issue,Date Time,,インボイス文書が参照する参照文書の発行日,,,CI_ Referenced_ Document. Issue. Date Time,The date or date time for the issuance of this CI referenced document.,Issue Date Time,ExchangedReferenceReferencedDocumentIssueDateTime,IssueDateTime,/SMECoreSelfInvoice/ExchangedDocument/ReferenceReferencedDocument/IssueDateTime
v4,49,3,A,,UN01009672,BBIE,（鑑ヘッダ参照）文書タイプコード,0..1,CI_ Referenced_ Document,Type,Code,,インボイス文書が参照する参照文書の文書タイプを識別するコード,UNCL1001,,CI_ Referenced_ Document. Type. Code,The code specifying the type of CI referenced document.,Type Code,ExchangedReferenceReferencedDocumentTypeCode,TypeCode,/SMECoreSelfInvoice/ExchangedDocument/ReferenceReferencedDocument/TypeCode
v4,50,3,A,,UN01014899,BBIE,（鑑ヘッダ参照）文書サブタイプコード,0..1,CI_ Referenced_ Document,Subtype,Code,,インボイス文書が参照する参照文書の文書サブタイプを識別するコード,JECxxxx,,CI_ Referenced_ Document. Subtype. Code,A code specifying a subtype of this CI referenced document.,Subtype Code,ExchangedReferenceReferencedDocumentSubtypeCode,SubtypeCode,/SMECoreSelfInvoice/ExchangedDocument/ReferenceReferencedDocument/SubtypeCode
v1,51,1,C,,UN01005936,ASMA,インボイス文書取引内容クラス,1..1,CIIH_ Supply Chain_ Trade Transaction,,,,インボイス文書情報で伝達される取引内容に関する情報からなるクラス。,,,CIIH_ Supply Chain_ Trade Transaction. Details,"The trade line items, trade agreement, trade delivery and trade settlement details included in this Cross Industry Invoice Header (CIIH).",CIIH Trade Transaction,SMECoreSelfInvoiceTradeTransaction,TradeTransaction,/SMECoreSelfInvoice/TradeTransaction
v1,52,2,C,,UN01005937,ASBIE,インボイス文書取引内容／契約グループ,1..1,CIIH_ Supply Chain_ Trade Transaction,Applicable,,CIIH_ Supply Chain_ Trade Agreement,インボイス文書取引に適用される契約に関するグループ。,,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Agreement,The CIIH supply chain trade agreement applicable to this CIIH supply chain trade transaction.,Trade Agreement,Agreement,TradeAgreement,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement
v1,54,3,C,,UN01005879,ASBIE,インボイス文書契約／受注者グループ,1..1,CIIH_ Supply Chain_ Trade Agreement,Seller,,CI_ Trade_ Party,受注者に関するグループ。,,,CIIH_ Supply Chain_ Trade Agreement. Seller. CI_ Trade_ Party,The party that is the seller for this CIIH supply chain trade agreement.,Seller,TransactionTradeAgreementSellerTradeParty,SellerTradeParty,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/SellerTradeParty
v1,56,4,A,,UN01005757,BBIE,受注者ID,0..1,CI_ Trade_ Party,Identification,Identifier,,注文を受ける企業/工場・事業所・事業部門等を表すID。デフォルトはデータなし。,,,CI_ Trade_ Party. Identification. Identifier,A unique identifier of this CI trade party.,ID,SellerTradePartyID,ID,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/SellerTradeParty/ID
v1,57,4,A,,UN01005759,BBIE,受注者名称,0..1,CI_ Trade_ Party,Name,Text,,注文を受ける企業/工場・事業所・事業部門等を表す名称。適格請求書、または区分記載請求書を発行する事業者名。,,,CI_ Trade_ Party. Name. Text,"The name, expressed as text, for this CI trade party.",Name,SellerTradePartyName,Name,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/SellerTradeParty/Name
v4,58,4,A,,UN01013039,BBIE,適格請求書発行事業者登録番号,0..1,CI_ Trade_ Party,Registered_ Identification,Identifier,,"国税庁へ登録された適格請求書発行事業者登録番号（区分記載請求書発行者についてはなし）
T1234567890123",ISO6523,,CI_ Trade_ Party. Registered_ Identification. Identifier,The registered identifier of this CI trade party.,Registered ID,SellerTradePartyRegisteredID,RegisteredID,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/SellerTradeParty/RegisteredID
v1,59,4,C,,UN01005761,ASBIE,受注者／連絡先グループ,0..1,CI_ Trade_ Party,Defined,,CI_ Trade_ Contact,受注者の連絡先に関するグループ,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,A trade contact defined for this CI trade party.,Defined Contact,SellerTradePartyTradeContact,TradeContact,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/SellerTradeParty/TradeContact
v1,61,5,A,,UN01005720,BBIE,受注者担当名,0..1,CI_ Trade_ Contact,Person Name,Text,,受注者連絡先の個人の、文字で表現された名前。,,,CI_ Trade_ Contact. Person Name. Text,"The name, expressed as text, of this CI trade contact person.",Person Name,SellerPartyTradeContactPersonName,PersonName,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/SellerTradeParty/TradeContact/PersonName
v1,62,5,A,,UN01005721,BBIE,受注者部門名,0..1,CI_ Trade_ Contact,Department Name,Text,,受注者の受注部門の名称。,,,CI_ Trade_ Contact. Department Name. Text,"The name, expressed as text, of the department which is this CI trade contact.",Department Name,SellerPartyTradeContactDepartmentName,DepartmentName,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/SellerTradeParty/TradeContact/DepartmentName
v1,63,5,C,,UN01005726,ASBIE,連絡先／電話情報グループ,0..1,CI_ Trade_ Contact,Telephone,,CI_ Universal_ Communication,連絡先の電話に関するグループ。,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,The telephone communication information for this CI trade contact.,Telephone,SellerPartyTradeContactTelephoneUniversalCommunication,TelephoneUniversalCommunication,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/SellerTradeParty/TradeContact/TelephoneUniversalCommunication
v1,65,6,A,,UN01005860,BBIE,受注者電話番号,0..1,CI_ Universal_ Communication,Complete Number,Text,,受注者の電話番号。,,,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,SellerPartyTradeContactTelephoneUniversalCommunicationCompleteNumberText,CompleteNumber,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/SellerTradeParty/TradeContact/TelephoneUniversalCommunication/CompleteNumber
v1,66,5,C,,UN01005729,ASBIE,連絡先／FAX情報グループ,0..1,CI_ Trade_ Contact,Fax,,CI_ Universal_ Communication,連絡先のFAXに関するグループ。,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,The fax communication information for this CI trade contact.,Fax,SellerPartyTradeContactFaxUniversalCommunication,FaxUniversalCommunication,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/SellerTradeParty/TradeContact/FaxUniversalCommunication
v1,68,6,A,,UN01005860,BBIE,受注者FAX番号,0..1,CI_ Universal_ Communication,Complete Number,Text,,受注者のFAX番号,,,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,SellerPartyTradeContactFaxUniversalCommunicationCompleteNumberText,CompleteNumber,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/SellerTradeParty/TradeContact/FaxUniversalCommunication/CompleteNumber
v1,69,4,C,,UN01005762,ASBIE,受注者／住所グループ,0..1,CI_ Trade_ Party,Postal,,CI_ Trade_ Address,受注者の住所に関するグループ。,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,The postal address for this CI trade party.,Postal Address,SellerTradePartyPostalTradeAddress,PostalTradeAddress,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/SellerTradeParty/PostalTradeAddress
v1,71,5,A,,UN01005689,BBIE,受注者郵便番号,0..1,CI_ Trade_ Address,Postcode,Code,,受注者の郵便番号。,,,CI_ Trade_ Address. Postcode. Code,The postcode of this CI trade address.,Postcode,SellerPartyPostalTradeAddressPostcodeCode,PostcodeCode,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/SellerTradeParty/PostalTradeAddress/PostcodeCode
v1,72,5,A,,UN01005692,BBIE,受注者住所1,0..1,CI_ Trade_ Address,Line One,Text,,受注者の住所1行目。,,,CI_ Trade_ Address. Line One. Text,"The first free form line, expressed as text, of this CI trade address.",Line One,SellerPartyPostalTradeAddressLineOneText,LineOne,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/SellerTradeParty/PostalTradeAddress/LineOne
v1,73,3,C,,UN01005880,ASBIE,インボイス文書契約／発注者グループ,1..1,CIIH_ Supply Chain_ Trade Agreement,Buyer,,CI_ Trade_ Party,発注者に関するグループ。,,,CIIH_ Supply Chain_ Trade Agreement. Buyer. CI_ Trade_ Party,The party that is the buyer for this CIIH supply chain trade agreement.,Buyer,TransactionTradeAgreementBuyerTradeParty,BuyerTradeParty,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/BuyerTradeParty
v1,75,4,A,,UN01005757,BBIE,発注者ID,0..1,CI_ Trade_ Party,Identification,Identifier,,注文を行う企業/工場・事業所・事業部門等を表すID。デフォルトはデータなし。,,,CI_ Trade_ Party. Identification. Identifier,A unique identifier of this CI trade party.,ID,BuyerTradePartyID,ID,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/BuyerTradeParty/ID
v1,76,4,A,,UN01005759,BBIE,発注者名称,0..1,CI_ Trade_ Party,Name,Text,,発注を行う企業/工場・事業所・事業部門等の名称,,,CI_ Trade_ Party. Name. Text,"The name, expressed as text, for this CI trade party.",Name,BuyerTradePartyName,Name,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/BuyerTradeParty/Name
v4,77,4,A,,UN01013039,BBIE,適格請求書発行事業者登録番号,0..1,CI_ Trade_ Party,Registered_ Identification,Identifier,,"登録された発注者の適格請求書発行事業者登録番号
（免税事業者についてはなし）",ISO6523,,CI_ Trade_ Party. Registered_ Identification. Identifier,The registered identifier of this CI trade party.,Registered ID,BuyerTradePartyRegisteredID,RegisteredID,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/BuyerTradeParty/RegisteredID
v1,78,4,C,,UN01005761,ASBIE,発注者／連絡先グループ,0..1,CI_ Trade_ Party,Defined,,CI_ Trade_ Contact,発注者の連絡先に関するグループ,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,A trade contact defined for this CI trade party.,Defined Contact,BuyerTradePartyTradeContact,TradeContact,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/BuyerTradeParty/TradeContact
v1,80,5,A,,UN01005720,BBIE,発注者担当名,0..1,CI_ Trade_ Contact,Person Name,Text,,発注者の発注担当者の名称,,,CI_ Trade_ Contact. Person Name. Text,"The name, expressed as text, of this CI trade contact person.",Person Name,BuyerPartyTradeContactPersonName,PersonName,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/BuyerTradeParty/TradeContact/PersonName
v1,81,5,A,,UN01005721,BBIE,発注者部門名,0..1,CI_ Trade_ Contact,Department Name,Text,,発注者の発注部門の名称。,,,CI_ Trade_ Contact. Department Name. Text,"The name, expressed as text, of the department which is this CI trade contact.",Department Name,BuyerPartyTradeContactDepartmentName,DepartmentName,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/BuyerTradeParty/TradeContact/DepartmentName
v1,82,5,C,,UN01005726,ASBIE,連絡先／電話情報グループ,0..1,CI_ Trade_ Contact,Telephone,,CI_ Universal_ Communication,連絡先の電話に関するグループ。,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,The telephone communication information for this CI trade contact.,Telephone,BuyerPartyTradeContactTelephoneUniversalCommunication,TelephoneUniversalCommunication,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/BuyerTradeParty/TradeContact/TelephoneUniversalCommunication
v1,84,6,A,,UN01005860,BBIE,発注者電話番号,0..1,CI_ Universal_ Communication,Complete Number,Text,,発注者の電話番号。,,,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,BuyerPartyTradeContactTelephoneUniversalCommunicationCompleteNumberText,CompleteNumber,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/BuyerTradeParty/TradeContact/TelephoneUniversalCommunication/CompleteNumber
v4,85,4,C,,UN01005762,ASBIE,発注者／住所グループ,0..1,CI_ Trade_ Party,Postal,,CI_ Trade_ Address,発注者の住所に関するグループ。,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,The postal address for this CI trade party.,Postal Address,BuyerTradePartyPostalTradeAddress,PostalTradeAddress,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/BuyerTradeParty/PostalTradeAddress
v4,87,5,A,,UN01005689,BBIE,発注者郵便番号,0..1,CI_ Trade_ Address,Postcode,Code,,発注者の郵便番号。,,,CI_ Trade_ Address. Postcode. Code,The postcode of this CI trade address.,Postcode,BuyerPartyPostalTradeAddressPostcodeCode,PostcodeCode,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/BuyerTradeParty/PostalTradeAddress/PostcodeCode
v4,88,5,A,,UN01005692,BBIE,発注者住所1,0..1,CI_ Trade_ Address,Line One,Text,,発注者の住所1行目。,,,CI_ Trade_ Address. Line One. Text,"The first free form line, expressed as text, of this CI trade address.",Line One,BuyerPartyPostalTradeAddressLineOneText,LineOne,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/BuyerTradeParty/PostalTradeAddress/LineOne
v1,89,3,C,,UN01011516,ASBIE,インボイス文書契約／プロジェクト調達グループ,0..1,CIIH_ Supply Chain_ Trade Agreement,Specified,,Procuring_ Project,プロジェクト調達に関するグループ,,,CIIH_ Supply Chain_ Trade Agreement. Specified. Procuring_ Project,The procuring project specified for this CIIH supply chain trade agreement.,Procuring Project,TransactionTradeAgreementProcuringProject,ProcuringProject,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/ProcuringProject
v1/v3,91,4,A,,UN01000372,BBIE,プロジェクトID,0..1,Procuring_ Project,Identification,Identifier,,発注品に関するプロジェクト・工事案件等を管理するためのID。,,,Procuring_ Project. Identification. Identifier,The unique identifier of this procuring project.,ID,TradeAgreementProcuringProjectID,ID,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/ProcuringProject/ID
v1/v3,92,4,A,,UN01000374,BBIE,プロジェクト名,0..1,Procuring_ Project,Name,Text,,発注品に関するプロジェクト・工事案件等の名称。,,,Procuring_ Project. Name. Text,"The name, expressed as text, of this procuring project.",Name,TradeAgreementProcuringProjectName,Name,/SMECoreSelfInvoice/TradeTransaction/TradeAgreement/ProcuringProject/Name
v2,93,2,C,,UN01005939,ASBIE,インボイス文書取引内容／決済グループ,1..1,CIIH_ Supply Chain_ Trade Transaction,Applicable,,CIIH_ Supply Chain_ Trade Settlement,決済に関するグループ,,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Settlement,The CIIH supply chain trade settlement applicable to this CIIH supply chain trade transaction.,Trade Settlement,Settlement,TradeSettlement,/SMECoreSelfInvoice/TradeTransaction/TradeSettlement
v4,95,3,A,,UN01005913,BBIE,税通貨コード,0..1,CIIH_ Supply Chain_ Trade Settlement,Tax_ Currency,Code,,"税の通貨コード。
＝JPY（デフォルト）",,"通貨コード
ISO4217",CIIH_ Supply Chain_ Trade Settlement. Tax_ Currency. Code,The code specifying the tax currency for this CIIH supply chain trade settlement.,Tax Currency Code,SettlementTaxCurrencyCode,TaxCurrencyCode,/SMECoreSelfInvoice/TradeTransaction/TradeSettlement/TaxCurrencyCode
v4,96,3,A,,UN01005914,BBIE,文書通貨コード,1..1,CIIH_ Supply Chain_ Trade Settlement,Invoice_ Currency,Code,,"インボイス文書の通貨コード。
＝JPY（デフォルト）",,"通貨コード
ISO4217",CIIH_ Supply Chain_ Trade Settlement. Invoice_ Currency. Code,The code specifying the invoice currency for this CIIH supply chain trade settlement.,Invoice Currency Code,SettlementInvoiceCurrencyCode,InvoiceCurrencyCode,/SMECoreSelfInvoice/TradeTransaction/TradeSettlement/InvoiceCurrencyCode
v4,97,3,A,,UN01005915,BBIE,支払通貨コード,0..1,CIIH_ Supply Chain_ Trade Settlement,Payment_ Currency,Code,,請求支払通貨コード（デフォルトはJPY）,,"通貨コード
ISO4217",CIIH_ Supply Chain_ Trade Settlement. Payment_ Currency. Code,The code specifying the payment currency for this CIIH supply chain trade settlement.,Payment Currency Code,SettlementPaymentCurrencyCode,PaymentCurrencyCode,/SMECoreSelfInvoice/TradeTransaction/TradeSettlement/PaymentCurrencyCode
v2,98,2,C,,UN01005939,ASBIE,インボイス文書取引／決済グループ,1..1,CIIH_ Supply Chain_ Trade Transaction,Applicable,,CIIH_ Supply Chain_ Trade Settlement,決済に関するグループ,,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Settlement,The CIIH supply chain trade settlement applicable to this CIIH supply chain trade transaction.,Trade Settlement,Settlement,TradeSettlement,/SMECoreSelfInvoice/TradeTransaction/TradeSettlement
v4,100,3,C,,UN01005923,ASBIE,インボイス文書決済／支払手段グループ,0..n,CIIH_ Supply Chain_ Trade Settlement,Specified,,CI_ Trade Settlement_ Payment Means,インボイス文書決済に関する支払手段のグループ。,,,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Trade Settlement_ Payment Means,A Cross Industry (CI) trade settlement payment means specified for this CIIH supply chain trade settlement.,Payment Means,SettlementTradeSettlementPaymentMeans,TradeSettlementPaymentMeans,/SMECoreSelfInvoice/TradeTransaction/TradeSettlement/TradeSettlementPaymentMeans
v4,102,4,A,,UN01005672,BBIE,支払手段タイプコード,0..1,CI_ Trade Settlement_ Payment Means,Type,Code,,取引決済手段のタイプを識別するコード,UNCL4461,,CI_ Trade Settlement_ Payment Means. Type. Code,"The code specifying the type of CI trade settlement payment means, such as cash or cheque.",Type Code,PaymentMeansTypeCode,TypeCode,/SMECoreSelfInvoice/TradeTransaction/TradeSettlement/TradeSettlementPaymentMeans/TypeCode
v1,103,4,C,,UN01005677,ASBIE,支払手段／金融口座グループ,0..1,CI_ Trade Settlement_ Payment Means,Payee_ Party,,CI_ Creditor_ Financial Account,取引決済の支払手段に関する受取人である当事者の債権者金融口座のグループ,,,CI_ Trade Settlement_ Payment Means. Payee_ Party. CI_ Creditor_ Financial Account,The creditor financial account of the payee party for this CI trade settlement payment means.,Payee Creditor Financial Account,PaymentMeansPayeePartyCreditorFinancialAccount,PayeePartyCreditorFinancialAccount,/SMECoreSelfInvoice/TradeTransaction/TradeSettlement/TradeSettlementPaymentMeans/PayeePartyCreditorFinancialAccount
v1,105,5,A,,UN01005400,BBIE,口座名義,0..1,CI_ Creditor_ Financial Account,Account Name,Text,,"債権者金融口座の、文字で表現された口座名。
半角カナ（日本の場合）",,,CI_ Creditor_ Financial Account. Account Name. Text,"The account name, expressed as text, of this CI creditor financial account.",Name,PaymentMeansPayeePartyCreditorFinancialAccountAccountName,AccountName,/SMECoreSelfInvoice/TradeTransaction/TradeSettlement/TradeSettlementPaymentMeans/PayeePartyCreditorFinancialAccount/AccountName
v1,106,5,A,,UN01005401,BBIE,口座番号,0..1,CI_ Creditor_ Financial Account,Proprietary_ Identification,Identifier,,債権者金融口座の一意の所有者ID。,,,CI_ Creditor_ Financial Account. Proprietary_ Identification. Identifier,The unique proprietary identifier for this CI creditor financial account.,Proprietary ID,PaymentMeansPayeePartyCreditorFinancialAccountProprietaryID,ProprietaryID,/SMECoreSelfInvoice/TradeTransaction/TradeSettlement/TradeSettlementPaymentMeans/PayeePartyCreditorFinancialAccount/ProprietaryID
v4,107,5,A,,UN01012127,BBIE,口座種別コード,0..1,CI_ Creditor_ Financial Account,Type,Code,,債権者金融口座種別のコード。,預金項目コード,,CI_ Creditor_ Financial Account. Type. Code,The code specifying the type of financial account for this CI creditor.,Type Code,PaymentMeansPayeePartyCreditorFinancialAccountTypeCode,TypeCode,/SMECoreSelfInvoice/TradeTransaction/TradeSettlement/TradeSettlementPaymentMeans/PayeePartyCreditorFinancialAccount/TypeCode
