version,sequence,level,type,identifier,UNID,acronym,label_local,multiplicity,class_term,property_term,representation_term,associated_class,definition_local,code_list,attribute,DEN,definition,short_name,name,element,xpath
v4,322,6,C,,UN01005716,ASBIE,明細行返金／明細行返金税グループ,0..n,CI_ Trade_ Allowance Charge,Category,,CI_ Trade_ Tax,明細行返金の税に関するグループ,,,CI_ Trade_ Allowance Charge. Category. CI_ Trade_ Tax,A tax category of this CI trade allowance charge.,Tax Category,LineSettlementTradeAllowanceChargeCategoryTradeTax,CategoryTradeTax,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeSettlement/TradeAllowanceCharge/CategoryTradeTax
v4,324,7,A,,UN01005841,BBIE,明細行返金課税分類コード,1..1,CI_ Trade_ Tax,Category,Code,,明細行返金の課税分類コード,UNCL5305,,CI_ Trade_ Tax. Category. Code,"The code specifying the category to which this CI trade related tax, levy or duty applies, such as codes for ""Exempt from Tax"", ""Standard Rate"", ""Free Export Item - Tax Not Charged"" .",Category Code,LineSettlementAllowanceChargeTradeTaxCategoryCode,CategoryCode,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeSettlement/TradeAllowanceCharge/CategoryTradeTax/CategoryCode
v4,325,7,A,,UN01007174,BBIE,明細行返金税率,0..1,CI_ Trade_ Tax,Rate_ Applicable,Percent,,明細行返金の税率,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,"The applicable rate of CI trade tax, expressed as a percentage.",Applicable Rate Percent,LineSettlementAllowanceChargeTradeTaxRatePercent,RatePercent,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeSettlement/TradeAllowanceCharge/CategoryTradeTax/RatePercent
v4.1,326,5,C,,UN01014644,ASBIE,明細行決裁／追加請求グループ,0..n,CIILB_ Supply Chain_ Trade Settlement,Specified,,CI_ Trade_ Allowance Charge,明細行決裁／追加請求グループ,,,CIILB_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Allowance Charge,An allowance or charge specified for this CIILB supply chain trade settlement.,Specified Allowance Charge,LineTradeSettlementTradeAllowanceCharge,TradeAllowanceCharge,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeSettlement/TradeAllowanceCharge
v4.1,328,6,A,,UN01005707,BBIE,"明細行返金・追加請求判別子
    =追加請求（Charge）",1..1,CI_ Trade_ Allowance Charge,Charge,Indicator,,"明細行返金・追加請求判別子
    =True (Charge)",JECxxxx,,CI_ Trade_ Allowance Charge. Charge. Indicator,The indication of whether or not this CI trade allowance charge is a charge.,Charge Indicator,LineSettlementTradeAllowanceChargeChargeIndicator,ChargeIndicator,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeSettlement/TradeAllowanceCharge/ChargeIndicator
v4.1,329,6,A,,UN01005713,BBIE,明細行追加請求金額,0..1,CI_ Trade_ Allowance Charge,Actual,Amount,,この明細行に紐付く追加請求金額。,,,CI_ Trade_ Allowance Charge. Actual. Amount,An actual monetary value of this CI trade allowance charge.,Actual Amount,LineSettlementTradeAllowanceChargeActualAmount,ActualAmount,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeSettlement/TradeAllowanceCharge/ActualAmount
v4.1,330,6,A,,UN01005714,BBIE,明細行追加請求理由コード,0..1,CI_ Trade_ Allowance Charge,Reason,Code,,この明細行の追加請求理由を識別するコード,UNCL5189,,CI_ Trade_ Allowance Charge. Reason. Code,The code specifying the reason for this CI trade allowance charge.,Reason Code,LineSettlementTradeAllowanceChargeReasonCode,ReasonCode,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeSettlement/TradeAllowanceCharge/ReasonCode
v4.1,331,6,A,,UN01005715,BBIE,明細行追加請求理由,0..1,CI_ Trade_ Allowance Charge,Reason,Text,,この明細行の追加請求理由（内容）の説明,,,CI_ Trade_ Allowance Charge. Reason. Text,"The reason, expressed as text, for this CI trade allowance charge.",Reason Text,LineSettlementTradeAllowanceChargeReasonText,Reason,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeSettlement/TradeAllowanceCharge/Reason
v4,332,6,C,,UN01005716,ASBIE,明細行追加請求／明細行追加請求税グループ,0..n,CI_ Trade_ Allowance Charge,Category,,CI_ Trade_ Tax,明細行追加請求の税に関するグループ,,,CI_ Trade_ Allowance Charge. Category. CI_ Trade_ Tax,A tax category of this CI trade allowance charge.,Tax Category,LineSettlementTradeAllowanceChargeCategoryTradeTax,CategoryTradeTax,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeSettlement/TradeAllowanceCharge/CategoryTradeTax
v4,334,7,A,,UN01005841,BBIE,明細行追加請求課税分類コード,1..1,CI_ Trade_ Tax,Category,Code,,明細行追加請求の課税分類コード,UNCL5305,,CI_ Trade_ Tax. Category. Code,"The code specifying the category to which this CI trade related tax, levy or duty applies, such as codes for ""Exempt from Tax"", ""Standard Rate"", ""Free Export Item - Tax Not Charged"" .",Category Code,LineSettlementAllowanceChargeTradeTaxCategoryCode,CategoryCode,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeSettlement/TradeAllowanceCharge/CategoryTradeTax/CategoryCode
v4,335,7,A,,UN01007174,BBIE,明細行追加請求税率,0..1,CI_ Trade_ Tax,Rate_ Applicable,Percent,,明細行追加請求の税率,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,"The applicable rate of CI trade tax, expressed as a percentage.",Applicable Rate Percent,LineSettlementAllowanceChargeTradeTaxRatePercent,RatePercent,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeSettlement/TradeAllowanceCharge/CategoryTradeTax/RatePercent
v4,336,5,C,,UN01014894,ASBIE,明細行／取引期間グループ,1..1,CIILB_ Supply Chain_ Trade Settlement,Billing,,CI_ Specified_ Period,"明細行の取引期間に関する情報からなるグループ
明細文書ヘッダ、または明細行のいずれかの取引期間グループが法的必須
明細文書ヘッダ取引期間グループにデータ入力した場合は明細行取引期間グループのデータ入力は省略することができる",,,CIILB_ Supply Chain_ Trade Settlement. Billing. CI_ Specified_ Period,The billing period specified for this CIILB supply chain trade settlement.,Billing Period,LineTradeSettlementBillingPeriod,BillingPeriod,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeSettlement/BillingPeriod
v4,338,6,A,,UN01005612,BBIE,明細行取引開始日,0..1,CI_ Specified_ Period,Start,Date Time,,この明細行の取引開始日,,,CI_ Specified_ Period. Start. Date Time,"The date, time, date time or other date time value for the start of this CI specified period of time.",Start Date Time,LineTradeSettlementBillingPeriodStartDateTime,StartDateTime,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeSettlement/BillingPeriod/StartDateTime
v4,339,6,A,,UN01005613,BBIE,明細行取引終了日,0..1,CI_ Specified_ Period,End,Date Time,,この明細行の取引終了日,,,CI_ Specified_ Period. End. Date Time,"The date, time, date time or other date time value for the end of this CI specified period of time.",End Date Time,LineTradeSettlementBillingPeriodEndDateTime,EndDateTime,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeSettlement/BillingPeriod/EndDateTime
v4.3,340,5,C,,JPSxxxxxxxx,ASBIE,明細行／会計アカウントグループ,0..1,CIILB_ Supply Chain_ Trade Settlement,Receivable_ Specified,,CI_ Trade_ Accounting Account,この明細行の会計アカウントに関するグループ,,,CIILB_ Supply Chain_ Trade Settlement. Receivable_ Specified. CI_ Trade_ Accounting Account,,,LineTradeSettlementReceivableTradeAccountingAccount,ReceivableTradeAccountingAccount,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeSettlement/ReceivableTradeAccountingAccount
v4.3,342,6,A,PK,UN01005681,BBIE,明細行会計アカウントID,1..1,CI_ Trade_ Accounting Account,Identification,Identifier,,明細行会計アカウントのID,,,CI_ Trade_ Accounting Account. Identification. Identifier,The unique identifier for this CI trade accounting account.,ID,LineSettlementReceivableTradeAccountingAccountID,ID,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeSettlement/ReceivableTradeAccountingAccount/ID
v4.3,343,6,A,,UN01005683,BBIE,明細行会計アカウントタイプコード,0..1,CI_ Trade_ Accounting Account,Type,Code,,明細行会計アカウントのタイプコード,,,CI_ Trade_ Accounting Account. Type. Code,"The code specifying the type of CI trade accounting account, such as general (main), secondary, cost accounting or budget account.",Type Code,LineSettlementReceivableTradeAccountingAccountTypeCode,TypeCode,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeSettlement/ReceivableTradeAccountingAccount/TypeCode
v4.3,344,6,A,,UN01005685,BBIE,明細行会計アカウント名,0..1,CI_ Trade_ Accounting Account,Name,Text,,明細行会計アカウントの名称,,,CI_ Trade_ Accounting Account. Name. Text,"The name, expressed as text, of this CI trade accounting account.",Name,LineSettlementReceivableTradeAccountingAccountName,Name,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeSettlement/ReceivableTradeAccountingAccount/Name
v1,345,4,C,,UN01010016,ASBIE,明細行／取引品目グループ,1..1,CIILB_ Subordinate_ Trade Line Item,Applicable,,CI_ Trade_ Product,明細行の取引品目に関するグループ,,,CIILB_ Subordinate_ Trade Line Item. Applicable. CI_ Trade_ Product,A product applicable for this CIILB subordinate trade line item.,Applicable Product,LineTradeProduct,TradeProduct,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeProduct
v1,347,5,A,,UN01005810,BBIE,品目ID,0..1,CI_ Trade_ Product,Identification,Identifier,,品目名を特定するために付与したID,,,CI_ Trade_ Product. Identification. Identifier,The unique identifier for this CI trade product.,ID,LineTradeProductID,ID,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeProduct/ID
v1,348,5,A,,UN01005815,BBIE,品目名,1..1,CI_ Trade_ Product,Name,Text,,この取引品目の名称。,,,CI_ Trade_ Product. Name. Text,"A name, expressed as text, for this CI trade product.",Name,LineTradeProductName,Name,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeProduct/Name
v1,349,5,A,,UN01005817,BBIE,品目摘要,0..1,CI_ Trade_ Product,Description,Text,,この取引品目内容を文字で説明したもの,,,CI_ Trade_ Product. Description. Text,A textual description for this CI trade product.,Description,LineTradeProductDescriptionText,Description,/SMECoreSelfInvoice/TradeTransaction/TradeLineItem/SubordinateSubordinateTradeLineItem/TradeProduct/Description
