sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
342,5,A,,Amount,xbrli:monetaryItemType,0..1,,"Amount of a cost or fee charged for a mortgage, loan, credit facility, etc.",gl-bus,0,Depreciation Mortgage,BU17a_07,/CO16a/CO15a/CO14a/BU17a/BU17a_07,$.Accounting Entries.Entry Header.Entry Detail.Depreciation Mortgage.Amount,AccntgEntrs.EntryHedr.EntryDetl.DeprctnMortgg.Amnt,手数料,減価償却や債権債務、ローン、信用供与等で請求されるコストや手数料。,gl-bus:depreciationMortgageAmount,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-bus:depreciationMortgage/gl-bus:depreciationMortgageAmount
343,4,C,,Serial or Lot,,0..*,,"Tuple for holding information about serial numbers or lots (batches). As a tuple, this permits multiple serial numbers or multiple lot number batches within a single gl-cor:measurable structure.",gl-ehm,0,Serial or Lot,EH01a,/CO16a/CO15a/CO14a/EH01a,$.Accounting Entries.Entry Header.Entry Detail.Serial or Lot,AccntgEntrs.EntryHedr.EntryDetl.SerlOrLot,【シリアル番号・ロット情報】,シリアル番号やロット（バッチ）に関する情報を保持するタプル。単一の構造内に複数のシリアル番号やロット情報を保持可能。,gl-ehm:serialOrLot,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-ehm:serialOrLot
344,5,A,PK,Code,xbrli:tokenItemType,0..1,,"Is this item tracked by serial numbers or lot numbers? A serial number is usually a unique number assigned to a single; a lot or batch number is provided when a batch of items is fungible but must be differentiated from similar items from other batches. Enumerated indicator for serial or lot items. Enumeration are: serial, lot, other, neither. If not included within the tuple, neither is assumed.",gl-ehm,0,Serial or Lot,EH01a_01,/CO16a/CO15a/CO14a/EH01a/EH01a_01,$.Accounting Entries.Entry Header.Entry Detail.Serial or Lot.Code,AccntgEntrs.EntryHedr.EntryDetl.SerlOrLot.Cod,シリアル・ロット識別コード,この項目はシリアル番号またはロット番号で管理されているか？シリアル番号は一意に付番されたもので、ロット番号は同一バッチの区別を目的に使用される。,gl-ehm:serialOrLotCode,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-ehm:serialOrLot/gl-ehm:serialOrLotCode
345,5,A,,Description,xbrli:stringItemType,0..1,,Free format description associated with gl-ehm:serialLotCode to provide specialization and especially to provide clarification for the enumerated value of other in serialLotCode. Examples might be “batch” or “group”.,gl-ehm,0,Serial or Lot,EH01a_02,/CO16a/CO15a/CO14a/EH01a/EH01a_02,$.Accounting Entries.Entry Header.Entry Detail.Serial or Lot.Description,AccntgEntrs.EntryHedr.EntryDetl.SerlOrLot.Descrptn,シリアル・ロットの説明,gl-ehm:serialLotCode の「その他」の値のための自由記述の説明（例：バッチ、グループなど）。,gl-ehm:serialOrLotDescription,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-ehm:serialOrLot/gl-ehm:serialOrLotDescription
346,5,A,,Number,xbrli:stringItemType,0..1,,The holder for that actual serial number or lot (batch) number/code assigned to an item or a batch of items.,gl-ehm,0,Serial or Lot,EH01a_03,/CO16a/CO15a/CO14a/EH01a/EH01a_03,$.Accounting Entries.Entry Header.Entry Detail.Serial or Lot.Number,AccntgEntrs.EntryHedr.EntryDetl.SerlOrLot.Numbr,シリアル番号・ロット番号,対象アイテムやロットに割り当てられた実際の番号／コードを保持する。,gl-ehm:serialOrLotNumber,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-ehm:serialOrLot/gl-ehm:serialOrLotNumber
347,5,A,,Next Number,xbrli:stringItemType,0..1,,"A field for holding the next expected serial or lot number to be given to future assignments, or for chaining between already assigned items.",gl-ehm,0,Serial or Lot,EH01a_04,/CO16a/CO15a/CO14a/EH01a/EH01a_04,$.Accounting Entries.Entry Header.Entry Detail.Serial or Lot.Next Number,AccntgEntrs.EntryHedr.EntryDetl.SerlOrLot.NextNumbr,次のシリアル・ロット番号,今後割り当て予定の次のシリアル／ロット番号や、既に割り当てられたアイテムの連結に使用。,gl-ehm:serialOrLotNextNumber,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-ehm:serialOrLot/gl-ehm:serialOrLotNextNumber
348,5,A,,Quantity,xbrli:decimalItemType,0..1,,The quantity of units in this particular batch. Unit of measure is the gl-bus:measurableUnitofMeasure.,gl-ehm,0,Serial or Lot,EH01a_05,/CO16a/CO15a/CO14a/EH01a/EH01a_05,$.Accounting Entries.Entry Header.Entry Detail.Serial or Lot.Quantity,AccntgEntrs.EntryHedr.EntryDetl.SerlOrLot.Quntty,シリアル・ロットの数量,該当ロット内の単位数。単位は gl-bus:measurableUnitofMeasure に基づく。,gl-ehm:serialOrLotQuantity,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-ehm:serialOrLot/gl-ehm:serialOrLotQuantity
349,5,A,,Original Quantity,xbrli:decimalItemType,0..1,,The quantity of units in this batch on inception.,gl-ehm,0,Serial or Lot,EH01a_06,/CO16a/CO15a/CO14a/EH01a/EH01a_06,$.Accounting Entries.Entry Header.Entry Detail.Serial or Lot.Original Quantity,AccntgEntrs.EntryHedr.EntryDetl.SerlOrLot.OrgnlQuntty,シリアル・ロット元数量,このロットが生成された時点の元の数量。,gl-ehm:serialOrLotOriginalQuantity,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-ehm:serialOrLot/gl-ehm:serialOrLotOriginalQuantity
350,5,A,,Remaining Quantity,xbrli:decimalItemType,0..1,,The remaining quantity of units from the original batch; may be the same as the quantity in this batch or include other batches from the same original batch.,gl-ehm,0,Serial or Lot,EH01a_07,/CO16a/CO15a/CO14a/EH01a/EH01a_07,$.Accounting Entries.Entry Header.Entry Detail.Serial or Lot.Remaining Quantity,AccntgEntrs.EntryHedr.EntryDetl.SerlOrLot.RemnngQuntty,シリアル・ロット残数量,元ロットからの残りの数量。,gl-ehm:serialOrLotRemainingQuantity,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-ehm:serialOrLot/gl-ehm:serialOrLotRemainingQuantity
351,5,A,,Origination,xbrli:dateTimeItemType,0..1,,Date of manufacture or creation.,gl-ehm,0,Serial or Lot,EH01a_08,/CO16a/CO15a/CO14a/EH01a/EH01a_08,$.Accounting Entries.Entry Header.Entry Detail.Serial or Lot.Origination,AccntgEntrs.EntryHedr.EntryDetl.SerlOrLot.Orgntn,シリアル・ロット生成日,製造日または作成日。,gl-ehm:serialOrLotOrigination,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-ehm:serialOrLot/gl-ehm:serialOrLotOrigination
