sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
116,6,A,,Descrption,xbrli:stringItemType,0..1,,"URI address usage (e.g. orders, head office, IR)",gl-bus,0,Email,BU04c_BU03_01,/CO16a/BU12a/BU09b/BU04c/BU04c_BU03_01,$.Accounting Entries.Entitry Information.Accountant.Contact.Email.Descrption,AccntgEntrs.EnttryInfrmn.Accntt.Contct.Eml.Descrptn,URIアドレス用途,URIアドレスの用途。(注文、本社、IRなど),gl-bus:accountantContactEmailDescrption,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:accountant/gl-bus:accountantContact/gl-bus:accountantContactEmail/gl-bus:accountantContactEmailDescrption
117,6,A,,Address,xbrli:stringItemType,0..1,,URI Address,gl-bus,0,Email,BU04c_BU03_02,/CO16a/BU12a/BU09b/BU04c/BU04c_BU03_02,$.Accounting Entries.Entitry Information.Accountant.Contact.Email.Address,AccntgEntrs.EnttryInfrmn.Accntt.Contct.Eml.Addrss,URIアドレス,URIアドレス。,gl-bus:accountantContactEmailAddress,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:accountant/gl-bus:accountantContact/gl-bus:accountantContactEmail/gl-bus:accountantContactEmailAddress
118,3,C,,Reporting Calendar,,0..*,,A tool to collect the periods used to summarise results from transactions.,gl-bus,0,Reporting Calendar,BU14a,/CO16a/BU14a,$.Accounting Entries.Entitry Information.Reporting Calendar,AccntgEntrs.EnttryInfrmn.ReprtngCalndr,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。,gl-bus:reportingCalendar,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:reportingCalendar
119,4,A,PK,Code,xbrli:stringItemType,0..1,,"The code used to identify this specific reporting calendar, unique across periods",gl-bus,0,Reporting Calendar,BU14a_01,/CO16a/BU14a/BU14a_01,$.Accounting Entries.Entitry Information.Reporting Calendar.Code,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.Cod,報告カレンダーコード,この報告カレンダーを識別するコード。複数期間にわたって一意。,gl-bus:reportingCalendarCode,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarCode
120,4,A,,Description,xbrli:stringItemType,0..1,,A description of the reporting calendar (associated with the reportingCalendarCode given),gl-bus,0,Reporting Calendar,BU14a_02,/CO16a/BU14a/BU14a_02,$.Accounting Entries.Entitry Information.Reporting Calendar.Description,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.Descrptn,報告カレンダー説明,報告カレンダーの説明（reportingCalendarCodeと関係付けられる）。,gl-bus:reportingCalendarDescription,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarDescription
121,4,A,,Title,xbrli:stringItemType,0..1,,A description of the reporting period. The actual beginning and ending dates are found within the 'reportingCalendarPeriod' structure,gl-bus,0,Reporting Calendar,BU14a_03,/CO16a/BU14a/BU14a_03,$.Accounting Entries.Entitry Information.Reporting Calendar.Title,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.Titl,報告カレンダータイトル,報告期間の説明。実際の開始日及び終了日はreportingCalendarPeriodに記述する。,gl-bus:reportingCalendarTitle,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarTitle
122,4,A,,Type of Period Code,xbrli:tokenItemType,0..1,,"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other.",gl-bus,0,Reporting Calendar,BU14a_04,/CO16a/BU14a/BU14a_04,$.Accounting Entries.Entitry Information.Reporting Calendar.Type of Period Code,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.TypePerdCod,期間種別コード,"報告期間の種別コード。月次、四半期ごと、半期ごと、4-5-4、随時、その他
[設定値のリスト]
(monthly：月次)、(quarterly：四半期ごと)、(semi-annually：半期ごと)、(4-5-4：4-5-4)、(ad-hoc：随時)、(other：その他)",gl-bus:reportingCalendarTypeOfPeriodCode,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarTypeOfPeriodCode
123,4,A,,Description of periods,xbrli:stringItemType,0..1,,A description of the type of period involved.,gl-bus,0,Reporting Calendar,BU14a_05,/CO16a/BU14a/BU14a_05,$.Accounting Entries.Entitry Information.Reporting Calendar.Description of periods,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.DescrptnPerds,期間種別説明,報告期間の種別の説明。,gl-bus:reportingCalendarDescriptionOfPeriods,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarDescriptionOfPeriods
124,4,A,,Closed status,xbrli:tokenItemType,0..1,,"An identifier on whether the reporting calendar is still open for activity. enumerated, ""open"", ""closed"", ""pending""",gl-bus,0,Reporting Calendar,BU14a_06,/CO16a/BU14a/BU14a_06,$.Accounting Entries.Entitry Information.Reporting Calendar.Closed status,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.ClosdStats,締状態,"報告カレンダーがオープンかどうかを示す識別子。オープン、締切り済み、保留中
[設定値のリスト]
(open：オープン)、(closed：締切り済み)、(pending：保留中)",gl-bus:reportingCalendarClosedStatus,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarClosedStatus
125,4,A,,Purpose,xbrli:tokenItemType,0..1,,A description of the accounting set of books involved. Uses enumeration from accounting method purpose.,gl-bus,0,Reporting Calendar,BU14a_07,/CO16a/BU14a/BU14a_07,$.Accounting Entries.Entitry Information.Reporting Calendar.Purpose,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.Purps,報告目的,"帳簿の集合の説明。会計処理方法の目的の列挙値を使用する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",gl-bus:reportingCalendarPurpose,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarPurpose
126,4,A,,Purpose Description,xbrli:stringItemType,0..1,,Free format description of the reporting purpose,gl-bus,0,Reporting Calendar,BU14a_08,/CO16a/BU14a/BU14a_08,$.Accounting Entries.Entitry Information.Reporting Calendar.Purpose Description,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.PurpsDescrptn,報告目的説明,報告目的の説明。,gl-bus:reportingCalendarPurposeDescription,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarPurposeDescription
127,4,C,,Reporting Calendar Period,,0..*,,A tool to collect a specific set of periods used to summarize results from transactions.,gl-bus,0,Reporting Calendar Period,BU13a,/CO16a/BU14a/BU13a,$.Accounting Entries.Entitry Information.Reporting Calendar.Reporting Calendar Period,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.ReprtngCalndrPerd,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。,gl-bus:reportingCalendarPeriod,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarPeriod
128,5,A,PK,Reporting Identifier,xbrli:stringItemType,0..1,,An identifier for this period in this calendar,gl-bus,0,Reporting Calendar Period,BU13a_01,/CO16a/BU14a/BU13a/BU13a_01,$.Accounting Entries.Entitry Information.Reporting Calendar.Reporting Calendar Period.Reporting Identifier,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.ReprtngCalndrPerd.ReprtngIdntfr,報告期間識別子,このカレンダーにおけるこの期間の識別子。,gl-bus:reportingCalendarPeriodReportingIdentifier,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarPeriod/gl-bus:reportingCalendarPeriodReportingIdentifier
129,5,A,,Description,xbrli:stringItemType,0..1,,A description of this specific reporting period in this calendar.,gl-bus,0,Reporting Calendar Period,BU13a_02,/CO16a/BU14a/BU13a/BU13a_02,$.Accounting Entries.Entitry Information.Reporting Calendar.Reporting Calendar Period.Description,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.ReprtngCalndrPerd.Descrptn,期間説明,このカレンダーにおけるこの特定の期間の説明。,gl-bus:reportingCalendarPeriodDescription,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarPeriod/gl-bus:reportingCalendarPeriodDescription
130,5,A,,Start Date,xbrli:dateTimeItemType,0..1,,The beginning date/time of a period,gl-bus,0,Reporting Calendar Period,BU13a_03,/CO16a/BU14a/BU13a/BU13a_03,$.Accounting Entries.Entitry Information.Reporting Calendar.Reporting Calendar Period.Start Date,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.ReprtngCalndrPerd.StartDat,期間開始日付,期間の開始日付/時刻,gl-bus:reportingCalendarPeriodStartDate,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarPeriod/gl-bus:reportingCalendarPeriodStartDate
131,5,A,,End Date,xbrli:dateTimeItemType,0..1,,The ending date/time of a period,gl-bus,0,Reporting Calendar Period,BU13a_04,/CO16a/BU14a/BU13a/BU13a_04,$.Accounting Entries.Entitry Information.Reporting Calendar.Reporting Calendar Period.End Date,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.ReprtngCalndrPerd.EndDat,期間終了日付,期間の終了日付/時刻,gl-bus:reportingCalendarPeriodEndDate,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarPeriod/gl-bus:reportingCalendarPeriodEndDate
132,5,A,,Closed Date,xbrli:dateTimeItemType,0..1,,"The date/time a period has been closed for activity. If this is present with a nill value (xsi:nill=""true"") then the period is not closed.",gl-bus,0,Reporting Calendar Period,BU13a_05,/CO16a/BU14a/BU13a/BU13a_05,$.Accounting Entries.Entitry Information.Reporting Calendar.Reporting Calendar Period.Closed Date,AccntgEntrs.EnttryInfrmn.ReprtngCalndr.ReprtngCalndrPerd.ClosdDat,期間締日付,"この期間の活動が締め切られた日付/時刻。この値がニル値(xsi:nill=""true"")であれば、この期間は、締め切られていない。",gl-bus:reportingCalendarPeriodClosedDate,/gl-cor:accountingEntries/gl-cor:entitryInformation/gl-bus:reportingCalendar/gl-bus:reportingCalendarPeriod/gl-bus:reportingCalendarPeriodClosedDate
133,2,C,,Entry Header,,0..*,,Parent for entry headers/journal entry headers.,gl-cor,0,Entry Header,CO15a,/CO16a/CO15a,$.Accounting Entries.Entry Header,AccntgEntrs.EntryHedr,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。,gl-cor:entryHeader,/gl-cor:accountingEntries/gl-cor:entryHeader
134,3,A,PK,Entry Identifier,xbrli:stringItemType,0..1,,Identifier within source journal,gl-cor,0,Entry Header,CO15a_01,/CO16a/CO15a/CO15a_01,$.Accounting Entries.Entry Header.Entry Identifier,AccntgEntrs.EntryHedr.EntryIdntfr,仕訳識別子,元仕訳帳中の識別子。,gl-cor:entryIdentifier,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryIdentifier
135,3,A,,Date Posted,xbrli:dateTimeItemType,0..1,,Date this entry was posted (validated) to the general ledger. May not represent the date of accounting significance which is represented by 'postingDate'.,gl-cor,0,Entry Header,CO15a_02,/CO16a/CO15a/CO15a_02,$.Accounting Entries.Entry Header.Date Posted,AccntgEntrs.EntryHedr.DatPostd,転記済日付,この仕訳が総勘定元帳に転記された(検証された)日付。 postingDateで示されるような会計上意味のある日付を表さないかもしれない。,gl-cor:datePosted,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:datePosted
136,3,A,,Source Journal,xbrli:tokenItemType,0..1,,"Source journal. The code of the journal in which the entry is processed. The code must be a unique indication for a journal and is selected from the following enumerated list:

cd      cash disbursements (sending cheques to vendors)
cr      cash receipts (receiving cheques from others)
fa      fixed assets
gi      giro/other bank adjustments
gj      general journal
im      inventory management
jc      job cost
pj      purchase journal (liabilities from purchases)
pl      payroll journal
sj      sales journal
se      standard entries
ud      user defined
ot      other sources of entries",gl-cor,0,Entry Header,CO15a_03,/CO16a/CO15a/CO15a_03,$.Accounting Entries.Entry Header.Source Journal,AccntgEntrs.EntryHedr.SorcJornl,元仕訳帳種別,"元仕訳帳。仕訳が処理される仕訳帳のコード。コードは仕訳帳に一意な指標であり、以下から選択する。
出金(仕入先への小切手送付)、入金(他者からの小切手受領)、固定資産、振替、一般仕訳帳、在庫管理、個別原価、仕入帳(仕入による負債)、賃金台帳、売上台帳、通常仕訳、ユーザ定義、その他
[設定値のリスト]
(cd：出金)、(cr：入金)、(fa：固定資産)、(gi：振替)、(gj：一般仕訳帳)、(im：在庫管理)、(jc：個別原価)、(pj：仕入帳)、(pl：賃金台帳)、(sj：売上台帳)、(se：通常仕訳)、(ud：ユーザ定義)、(ot：その他)",gl-cor:sourceJournal,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:sourceJournal
137,3,A,,Journal Description,xbrli:stringItemType,0..1,,"Source journal (full description of general journal, payroll journal, accountant entries). A more easily readable journal indication. The most common journals are: Purchases, Sales, Cash, and General Journal.",gl-cor,0,Entry Header,CO15a_BU15_04,/CO16a/CO15a/CO15a_BU15_04,$.Accounting Entries.Entry Header.Journal Description,AccntgEntrs.EntryHedr.JornlDescrptn,元仕訳帳説明,元仕訳帳(一般仕訳、給与台帳、会計事務所入力の完全な説明)。 よりわかりやすい仕訳帳の指標。 最も一般的な仕訳帳は、次の通り。 仕入、売上、現金、一般仕訳。,gl-cor:journalDescription,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:journalDescription
138,3,A,,Type Identifier,xbrli:tokenItemType,0..1,,"One of the following enumerated list: adjusting, budget, comparative, external-accountant, standard, passed-adjusting, eliminating, proposed, recurring, reclassifying, simulated, tax, other",gl-cor,0,Entry Header,CO15a_05,/CO16a/CO15a/CO15a_05,$.Accounting Entries.Entry Header.Type Identifier,AccntgEntrs.EntryHedr.TypeIdntfr,種別識別子,"以下の値のうちのひとつ。
整理、予算、比較、外部会計事務所、通常、無視、消去、提案、反復、組替、シミュレーション、税、その他
[設定値のリスト]
(adjusting：整理)、(budget：予算)、(comparative：比較)、(external-accountant：外部会計事務所)、(standard：通常)、(passed-adjusting：無視)、(eliminating：消去)、(proposed：提案)、(recurring：反復)、(reclassifying：組替)、(simulated：シミュレーション)、(tax：税)、(other：その他)",gl-cor:typeIdentifier,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:typeIdentifier
139,3,A,,Entry Origin,xbrli:stringItemType,0..1,,"Origin of entry: accrual, manual entry, imported entry, exchange gain or loss",gl-cor,0,Entry Header,CO15a_BU15_06,/CO16a/CO15a/CO15a_BU15_06,$.Accounting Entries.Entry Header.Entry Origin,AccntgEntrs.EntryHedr.EntryOrgn,仕訳起源,仕訳の起源。発生、手入力、インポート入力、為替換算による損益。,gl-cor:entryOrigin,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryOrigin
140,3,A,,Entry Description,xbrli:stringItemType,0..1,,Description of entry described by this entry header (e.g. Opening Balance),gl-cor,0,Entry Header,CO15a_07,/CO16a/CO15a/CO15a_07,$.Accounting Entries.Entry Header.Entry Description,AccntgEntrs.EntryHedr.EntryDescrptn,仕訳説明,このエントリヘッダーによって説明された仕訳の説明(例えば、期首残高),gl-cor:entryDescription,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDescription
141,3,A,,Entry Qualifier,xbrli:tokenItemType,0..1,,"Entry Qualifier - An enumerated field that qualifies the type of entry, specifically useful for general ledger and trial balance environments when it is important to state the values represented are summarized as of the reporting date - opening or closing balances. In accounting systems, this is often known as BBF (balance brought forward.) Permitted values are: standard, balance-brought-forward and other.",gl-cor,0,Entry Header,CO15a_08,/CO16a/CO15a/CO15a_08,$.Accounting Entries.Entry Header.Entry Qualifier,AccntgEntrs.EntryHedr.EntryQulfr,仕訳修飾子,"仕訳の修飾子。総勘定元帳や試算表で、開始残高や決算残高のように、記された値が報告日で集約されていることを明示することが重要なときに有用な、仕訳の種別を修飾するもの。会計システムにおいて、BBF（繰越残高）として知られるもの。指定可能な値は以下。標準、繰越残高、その他
[設定値のリスト]
(standard：標準)、(balance-brought-forward：繰越残高)、(other：その他)",gl-cor:entryQualifier,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryQualifier
142,3,A,,Entry Qualifier Description,xbrli:stringItemType,0..1,,Free format description of the entry qualifier,gl-cor,0,Entry Header,CO15a_09,/CO16a/CO15a/CO15a_09,$.Accounting Entries.Entry Header.Entry Qualifier Description,AccntgEntrs.EntryHedr.EntryQulfrDescrptn,仕訳修飾子説明,仕訳の修飾子の説明。,gl-cor:entryQualifierDescription,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryQualifierDescription
143,3,A,,Posting Code,xbrli:stringItemType,0..1,,"Code for posting to period, e.g., period 1-13, based on codes in an accounting period file. We do not recommend that software vendors export here, but suggest providing period end numbers for the buckets. Possibilities W1 through W53, M1 through M13, Q1-Q4. Developers and others creating output files are encouraged to supply an actual end date.",gl-cor,0,Entry Header,CO15a_BU15_10,/CO16a/CO15a/CO15a_BU15_10,$.Accounting Entries.Entry Header.Posting Code,AccntgEntrs.EntryHedr.PostngCod,転記コード,転記の期間を表すコード。例えば、会計期間ファイルのコードにもとづく期間１～１３。ソフトウエアベンダーが、この値をエクスポートすることは推奨しない。期間の最終番号を提供することを勧める。可能な値としては、W1からW53、M1からM13、Q1からQ4など。開発者や出力ファイルの作成者には、実際の終了日付を提供することを勧める。,gl-cor:postingCode,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:postingCode
144,3,A,,Batch ID for Entry Group,xbrli:stringItemType,0..1,,ID for a batch for this group of entries,gl-cor,0,Entry Header,CO15a_BU15_11,/CO16a/CO15a/CO15a_BU15_11,$.Accounting Entries.Entry Header.Batch ID for Entry Group,AccntgEntrs.EntryHedr.BatchIdEntryGrop,仕訳グループ識別子,この仕訳の集合に付ける、束の識別子。,gl-cor:batchIdForEntryGroup,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:batchIdForEntryGroup
145,3,A,,Batch Description,xbrli:stringItemType,0..1,,Description of this batch,gl-cor,0,Entry Header,CO15a_BU15_12,/CO16a/CO15a/CO15a_BU15_12,$.Accounting Entries.Entry Header.Batch Description,AccntgEntrs.EntryHedr.BatchDescrptn,仕訳グループ説明,この仕訳の束の説明。,gl-cor:batchDescription,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:batchDescription
146,3,A,,Number of Entries,xbrli:integerItemType,0..1,,The total number of entries.,gl-cor,0,Entry Header,CO15a_BU15_13,/CO16a/CO15a/CO15a_BU15_13,$.Accounting Entries.Entry Header.Number of Entries,AccntgEntrs.EntryHedr.NumbrEntrs,仕訳総数,仕訳の総数。,gl-cor:numberOfEntries,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:numberOfEntries
147,3,A,,Total Debits,xbrli:monetaryItemType,0..1,,The total of all debit amounts.,gl-cor,0,Entry Header,CO15a_BU15_14,/CO16a/CO15a/CO15a_BU15_14,$.Accounting Entries.Entry Header.Total Debits,AccntgEntrs.EntryHedr.TotlDebts,借方合計,借方金額の合計値。,gl-cor:totalDebits,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:totalDebits
148,3,A,,Total Credits,xbrli:monetaryItemType,0..1,,The total of all credit amounts.,gl-cor,0,Entry Header,CO15a_BU15_15,/CO16a/CO15a/CO15a_BU15_15,$.Accounting Entries.Entry Header.Total Credits,AccntgEntrs.EntryHedr.TotlCredts,貸方合計,貸方金額の合計値。,gl-cor:totalCredits,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:totalCredits
149,3,A,,Type of Difference,xbrli:tokenItemType,0..1,,"Enumerated field with possible values of permanent, temporary or none indicating the type of difference between book and tax accounting methods. Omission of this field is equivalent to ""none""",gl-cor,0,Entry Header,CO15a_16,/CO16a/CO15a/CO15a_16,$.Accounting Entries.Entry Header.Type of Difference,AccntgEntrs.EntryHedr.TypeDiffrnc,帳簿価税務簿価差異種別,"帳簿と税務会計処理方法との差異の種別を示す値。永久か一時的かまたは無し。値の省略時は「無し」と同じ。
[設定値のリスト]
(permanent：永久)、(temporary：一時的)、(none：無し)",gl-cor:typeOfDifference,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:typeOfDifference
150,3,A,,Elimination Code,xbrli:stringItemType,0..1,,Informs destination ledger this is an intracompany entry which eliminates in consolidation,gl-cor,0,Entry Header,CO15a_BU15_17,/CO16a/CO15a/CO15a_BU15_17,$.Accounting Entries.Entry Header.Elimination Code,AccntgEntrs.EntryHedr.ElmntnCod,相殺消去コード,連結決算時に消去される連結会社間仕訳であることを、受取側の元帳に通知する。,gl-cor:eliminationCode,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:eliminationCode
151,3,A,,Budget Scenario Period Start,xbrli:dateTimeItemType,0..1,,Start of period covered by associated budgetScenario,gl-cor,0,Entry Header,CO15a_BU15_18,/CO16a/CO15a/CO15a_BU15_18,$.Accounting Entries.Entry Header.Budget Scenario Period Start,AccntgEntrs.EntryHedr.BudgtScenrPerdStart,予算シナリオ期間開始日付,関係付けられたbudgetScenarioがカバーする期間の開始日。,gl-cor:budgetScenarioPeriodStart,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:budgetScenarioPeriodStart
152,3,A,,Budget Scenario Period End,xbrli:dateTimeItemType,0..1,,End of period covered by associated budgetScenario,gl-cor,0,Entry Header,CO15a_BU15_19,/CO16a/CO15a/CO15a_BU15_19,$.Accounting Entries.Entry Header.Budget Scenario Period End,AccntgEntrs.EntryHedr.BudgtScenrPerdEnd,予算シナリオ期間終了日付,関係付けられたbudgetScenarioがカバーする期間の終了日。,gl-cor:budgetScenarioPeriodEnd,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:budgetScenarioPeriodEnd
153,3,A,,Scenario Description,xbrli:stringItemType,0..1,,Text related to budgetScenario,gl-cor,0,Entry Header,CO15a_BU15_20,/CO16a/CO15a/CO15a_BU15_20,$.Accounting Entries.Entry Header.Scenario Description,AccntgEntrs.EntryHedr.ScenrDescrptn,シナリオ説明,budgetScenarioに関する記述。,gl-cor:scenarioDescription,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:scenarioDescription
154,3,A,,Scenario Code,xbrli:stringItemType,0..1,,"Code for a budget scenario identifier (such as PB for 'preliminary budget', or RB for 'revised budget', or other identifier for entryType)",gl-cor,0,Entry Header,CO15a_BU15_21,/CO16a/CO15a/CO15a_BU15_21,$.Accounting Entries.Entry Header.Scenario Code,AccntgEntrs.EntryHedr.ScenrCod,シナリオコード,予算シナリオの識別コード。例えば、「PB」（予備予算）、「RB」（補正予算）、または他の仕訳種別の識別子。,gl-cor:scenarioCode,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:scenarioCode
155,3,A,,Budget Allocation Code,xbrli:tokenItemType,0..1,,"Code associated with the calculation formula: e.g. (D)ivide by number of periods, (T)otal for period given",gl-cor,0,Entry Header,CO15a_BU15_22,/CO16a/CO15a/CO15a_BU15_22,$.Accounting Entries.Entry Header.Budget Allocation Code,AccntgEntrs.EntryHedr.BudgtAllctnCod,予算配分コード,"計算式に関係付けられたコード。例えば、期間数での分割、与えられた期間の合計
[設定値のリスト]
(D：期間数での分割)、(T：与えられた期間の合計)",gl-cor:budgetAllocationCode,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:budgetAllocationCode
156,3,A,,ID for Associated Entry,xbrli:stringItemType,0..1,,"For standard, reversing, master, cancelling or other entries an ID associated with those entries.",gl-cor,0,Entry Header,CO15a_UK15_23,/CO16a/CO15a/CO15a_UK15_23,$.Accounting Entries.Entry Header.ID for Associated Entry,AccntgEntrs.EntryHedr.IdAssctdEntry,反対/通常/マスタ仕訳識別子,通常、反対、マスタ、取消または他の仕訳のための、それらの仕訳を関連付けるID。,gl-cor:idForAssociatedEntry,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:idForAssociatedEntry
157,3,A,,Recurring Standard Description,xbrli:stringItemType,0..1,,Description to accompany standard or recurring ID,gl-cor,0,Entry Header,CO15a_UK15_24,/CO16a/CO15a/CO15a_UK15_24,$.Accounting Entries.Entry Header.Recurring Standard Description,AccntgEntrs.EntryHedr.RecrrngStandrdDescrptn,反復通常仕訳説明,通常仕訳または反復仕訳のIDの説明。,gl-cor:recurringStandardDescription,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:recurringStandardDescription
158,3,A,,Frequency Interval,xbrli:decimalItemType,0..1,,"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 (interval) days (unit) or every 1 (interval) quarter (unit). This field represents the interval.",gl-cor,0,Entry Header,CO15a_UK15_25,/CO16a/CO15a/CO15a_UK15_25,$.Accounting Entries.Entry Header.Frequency Interval,AccntgEntrs.EntryHedr.FreqncyIntrvl,頻度間隔,通常または反復仕訳において、仕訳が記入される頻度。frequencyInterval、frequencyUnitごと、たとえば7(interval)日(unit)ごと、1(interval)四半期(unit)ごとなどにおける、intervalを示す。,gl-cor:frequencyInterval,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:frequencyInterval
159,3,A,,Frequency Unit,xbrli:stringItemType,0..1,,"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 (interval) days (unit) or every 1 (interval) quarter (unit). This field represents the unit.",gl-cor,0,Entry Header,CO15a_UK15_26,/CO16a/CO15a/CO15a_UK15_26,$.Accounting Entries.Entry Header.Frequency Unit,AccntgEntrs.EntryHedr.FreqncyUnt,頻度単位,通常または反復仕訳において、仕訳が記入される頻度。frequencyInterval、frequencyUnitごと、たとえば7(interval)日(unit)ごと、1(interval)四半期(unit)ごとなどにおける、unitを示す。,gl-cor:frequencyUnit,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:frequencyUnit
160,3,A,,Repetitions Remaining,xbrli:integerItemType,0..1,,Number of times that the recurring entry will repeat,gl-cor,0,Entry Header,CO15a_UK15_27,/CO16a/CO15a/CO15a_UK15_27,$.Accounting Entries.Entry Header.Repetitions Remaining,AccntgEntrs.EntryHedr.RepttnsRemnng,反復残回数,反復仕訳の繰り返し予定数。,gl-cor:repetitionsRemaining,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:repetitionsRemaining
161,3,A,,Next Date Repeat,xbrli:dateTimeItemType,0..1,,Date next repeated or standard posted,gl-cor,0,Entry Header,CO15a_UK15_28,/CO16a/CO15a/CO15a_UK15_28,$.Accounting Entries.Entry Header.Next Date Repeat,AccntgEntrs.EntryHedr.NextDatRept,次回反復日付,次回の反復あるいは通常の転記日。,gl-cor:nextDateRepeat,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:nextDateRepeat
162,3,A,,Last Date Repeat,xbrli:dateTimeItemType,0..1,,Date last repeated or standard posted,gl-cor,0,Entry Header,CO15a_UK15_29,/CO16a/CO15a/CO15a_UK15_29,$.Accounting Entries.Entry Header.Last Date Repeat,AccntgEntrs.EntryHedr.LastDatRept,前回反復日付,前回の反復あるいは通常の転記日。,gl-cor:lastDateRepeat,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:lastDateRepeat
